Archetype,House number,WFH Type,Operation,Solar,Grid Import,Total Cost
Detached,8,T3,safe_unidirectional,worst,3210.87,770.469
Detached,8,T3,safe_unidirectional,best,2993.86,669.867
Detached,8,T3,hybrid_bidirectional,worst,2271.37,239.589
Detached,8,T3,hybrid_bidirectional,best,1814.36,60.2389
Detached,9,T1,safe_unidirectional,worst,4413.53,885.148
Detached,9,T1,safe_unidirectional,best,4149.97,773.209
Detached,9,T1,hybrid_bidirectional,worst,3655.64,304.409
Detached,9,T1,hybrid_bidirectional,best,3429.1,185.371
Detached,9,T2,safe_unidirectional,worst,3941.2,848.474
Detached,9,T2,safe_unidirectional,best,3693.83,736.535
Detached,9,T2,hybrid_bidirectional,worst,2797.62,229.984
Detached,9,T2,hybrid_bidirectional,best,2629.53,106.074
Detached,9,T3,safe_unidirectional,worst,3639.47,824.352
Detached,9,T3,safe_unidirectional,best,3393.72,712.189
Detached,9,T3,hybrid_bidirectional,worst,2593.67,308.559
Detached,9,T3,hybrid_bidirectional,best,2157.94,135.491
Detached,10,T1,safe_unidirectional,worst,3911.98,680.295
Detached,10,T1,safe_unidirectional,best,3709.68,583.432
Detached,10,T1,hybrid_bidirectional,worst,3039.37,154.864
Detached,10,T1,hybrid_bidirectional,best,2777.26,42.2392
Detached,10,T2,safe_unidirectional,worst,3436.18,644.035
Detached,10,T2,safe_unidirectional,best,3243.32,547.172
Detached,10,T2,hybrid_bidirectional,worst,2459.21,80.5761
Detached,10,T2,hybrid_bidirectional,best,2078.51,
Detached,10,T3,safe_unidirectional,worst,3117.65,618.67
Detached,10,T3,safe_unidirectional,best,2925.23,521.807
Detached,10,T3,hybrid_bidirectional,worst,2136.1,143.875
Detached,10,T3,hybrid_bidirectional,best,1580.04,
Detached,11,T1,safe_unidirectional,worst,4538.85,694.225
Detached,11,T1,safe_unidirectional,best,4331.81,592.808
Detached,11,T1,hybrid_bidirectional,worst,3549.75,199.376
Detached,11,T1,hybrid_bidirectional,best,3243.98,88.3879
Detached,11,T2,safe_unidirectional,worst,4073.54,661.159
Detached,11,T2,safe_unidirectional,best,3866.22,559.967
Detached,11,T2,hybrid_bidirectional,worst,3017.61,132.75
Detached,11,T2,hybrid_bidirectional,best,2523.74,
Detached,11,T3,safe_unidirectional,worst,3740.66,637.728
Detached,11,T3,safe_unidirectional,best,3535.35,536.312
Detached,11,T3,hybrid_bidirectional,worst,2592.77,158.047
Detached,11,T3,hybrid_bidirectional,best,1944.79,
Detached,12,T1,safe_unidirectional,worst,4759.45,921.338
Detached,12,T1,safe_unidirectional,best,4552.88,820.471
Detached,12,T1,hybrid_bidirectional,worst,3686.02,293.82
Detached,12,T1,hybrid_bidirectional,best,3564.29,189.445
Detached,12,T2,safe_unidirectional,worst,4284.1,885.959
Detached,12,T2,safe_unidirectional,best,4087.91,785.092
Detached,12,T2,hybrid_bidirectional,worst,3033.93,233.908
Detached,12,T2,hybrid_bidirectional,best,2589.84,92.0704
Detached,12,T3,safe_unidirectional,worst,3968.34,860.888
Detached,12,T3,safe_unidirectional,best,3773.57,760.021
Detached,12,T3,hybrid_bidirectional,worst,2877.4,306.386
Detached,12,T3,hybrid_bidirectional,best,2320.23,125.607
Detached,13,T1,safe_unidirectional,worst,4157.5,798.546
Detached,13,T1,safe_unidirectional,best,3934.04,690.031
Detached,13,T1,hybrid_bidirectional,worst,3497.26,255.258
Detached,13,T1,hybrid_bidirectional,best,3249.49,137.645
Detached,13,T2,safe_unidirectional,worst,3671.91,763.132
Detached,13,T2,safe_unidirectional,best,3456.64,654.876
Detached,13,T2,hybrid_bidirectional,worst,2603.82,163.517
Detached,13,T2,hybrid_bidirectional,best,2196.71,23.4308
Detached,13,T3,safe_unidirectional,worst,3360.68,739.891
Detached,13,T3,safe_unidirectional,best,3149.75,631.151
Detached,13,T3,hybrid_bidirectional,worst,2223.12,228.543
Detached,13,T3,hybrid_bidirectional,best,1724.88,37.325
Detached,14,T1,safe_unidirectional,worst,4153.25,826.133
Detached,14,T1,safe_unidirectional,best,3960.12,734.357
Detached,14,T1,hybrid_bidirectional,worst,3371.92,208.431
Detached,14,T1,hybrid_bidirectional,best,3123.19,102.672
Detached,14,T2,safe_unidirectional,worst,3684.31,792.204
Detached,14,T2,safe_unidirectional,best,3501.99,700.428
Detached,14,T2,hybrid_bidirectional,worst,2540.13,99.5183
Detached,14,T2,hybrid_bidirectional,best,2094.11,
Detached,14,T3,safe_unidirectional,worst,3375.59,767.409
Detached,14,T3,safe_unidirectional,best,3201.18,675.633
Detached,14,T3,hybrid_bidirectional,worst,2307.98,203.498
Detached,14,T3,hybrid_bidirectional,best,1774.61,28.593
Detached,15,T1,safe_unidirectional,worst,4216.22,744.607
Detached,15,T1,safe_unidirectional,best,4005.83,647.499
Detached,15,T1,hybrid_bidirectional,worst,3403.1,185.126
Detached,15,T1,hybrid_bidirectional,best,3158.18,78.2658
Detached,15,T2,safe_unidirectional,worst,3778.03,708.71
Detached,15,T2,safe_unidirectional,best,3580.42,611.602
Detached,15,T2,hybrid_bidirectional,worst,2776.04,128.705
Detached,15,T2,hybrid_bidirectional,best,2458.07,2.15348
Detached,15,T3,safe_unidirectional,worst,3457.87,684.502
Detached,15,T3,safe_unidirectional,best,3263.69,587.394
Detached,15,T3,hybrid_bidirectional,worst,2453.56,186.76
Detached,15,T3,hybrid_bidirectional,best,1897.98,1.45358
Detached,16,T1,safe_unidirectional,worst,3667.06,805.575
Detached,16,T1,safe_unidirectional,best,3441.45,706.625
Detached,16,T1,hybrid_bidirectional,worst,3109.52,236.903
Detached,16,T1,hybrid_bidirectional,best,2783.56,120.447
Detached,16,T2,safe_unidirectional,worst,3210.28,769.712
Detached,16,T2,safe_unidirectional,best,2990.17,671.021
Detached,16,T2,hybrid_bidirectional,worst,2407.6,119.509
Detached,16,T2,hybrid_bidirectional,best,2037.6,1.30987
Detached,16,T3,safe_unidirectional,worst,2903.73,746.281
Detached,16,T3,safe_unidirectional,best,2689.0,647.106
Detached,16,T3,hybrid_bidirectional,worst,2025.58,182.257
Detached,16,T3,hybrid_bidirectional,best,1500.13,10.4842
Detached,17,T1,safe_unidirectional,worst,3963.69,756.61
Detached,17,T1,safe_unidirectional,best,3754.47,655.577
Detached,17,T1,hybrid_bidirectional,worst,3103.79,205.045
Detached,17,T1,hybrid_bidirectional,best,2906.68,92.8642
Detached,17,T2,safe_unidirectional,worst,3516.04,722.128
Detached,17,T2,safe_unidirectional,best,3308.94,621.095
Detached,17,T2,hybrid_bidirectional,worst,2560.28,141.415
Detached,17,T2,hybrid_bidirectional,best,2341.35,21.3761
Detached,17,T3,safe_unidirectional,worst,3239.89,697.92
Detached,17,T3,safe_unidirectional,best,3042.78,596.887
Detached,17,T3,hybrid_bidirectional,worst,2183.28,231.539
Detached,17,T3,hybrid_bidirectional,best,1706.88,52.1498
Detached,18,T1,safe_unidirectional,worst,4246.51,844.063
Detached,18,T1,safe_unidirectional,best,4030.66,744.986
Detached,18,T1,hybrid_bidirectional,worst,3532.66,224.595
Detached,18,T1,hybrid_bidirectional,best,3285.1,107.805
Detached,18,T2,safe_unidirectional,worst,3788.94,808.028
Detached,18,T2,safe_unidirectional,best,3584.89,708.709
Detached,18,T2,hybrid_bidirectional,worst,2661.4,143.312
Detached,18,T2,hybrid_bidirectional,best,2371.61,17.799
Detached,18,T3,safe_unidirectional,worst,3466.29,783.25
Detached,18,T3,safe_unidirectional,best,3270.73,683.931
Detached,18,T3,hybrid_bidirectional,worst,2227.82,184.468
Detached,18,T3,hybrid_bidirectional,best,1681.42,2.19773
Detached,19,T1,safe_unidirectional,worst,4306.94,749.997
Detached,19,T1,safe_unidirectional,best,4050.42,643.074
Detached,19,T1,hybrid_bidirectional,worst,3506.93,226.965
Detached,19,T1,hybrid_bidirectional,best,3220.15,112.292
Detached,19,T2,safe_unidirectional,worst,3828.8,713.807
Detached,19,T2,safe_unidirectional,best,3577.88,606.883
Detached,19,T2,hybrid_bidirectional,worst,2632.84,113.779
Detached,19,T2,hybrid_bidirectional,best,2492.67,12.9704
Detached,19,T3,safe_unidirectional,worst,3512.9,689.132
Detached,19,T3,safe_unidirectional,best,3265.64,582.209
Detached,19,T3,hybrid_bidirectional,worst,2436.16,163.276
Detached,19,T3,hybrid_bidirectional,best,1873.75,
Detached,20,T1,safe_unidirectional,worst,4704.22,927.764
Detached,20,T1,safe_unidirectional,best,4474.62,824.001
Detached,20,T1,hybrid_bidirectional,worst,3772.87,275.58
Detached,20,T1,hybrid_bidirectional,best,3502.32,158.184
Detached,20,T2,safe_unidirectional,worst,4213.97,891.867
Detached,20,T2,safe_unidirectional,best,3988.05,788.104
Detached,20,T2,hybrid_bidirectional,worst,3031.84,219.87
Detached,20,T2,hybrid_bidirectional,best,2816.52,86.0388
Detached,20,T3,safe_unidirectional,worst,3914.66,866.709
Detached,20,T3,safe_unidirectional,best,3689.32,762.946
Detached,20,T3,hybrid_bidirectional,worst,2654.45,290.954
Detached,20,T3,hybrid_bidirectional,best,2121.83,104.281
Detached,21,T1,safe_unidirectional,worst,3297.29,596.083
Detached,21,T1,safe_unidirectional,best,3100.0,496.489
Detached,21,T1,hybrid_bidirectional,worst,2710.1,111.489
Detached,21,T1,hybrid_bidirectional,best,2507.66,2.95193
Detached,21,T2,safe_unidirectional,worst,2833.23,560.807
Detached,21,T2,safe_unidirectional,best,2649.71,461.213
Detached,21,T2,hybrid_bidirectional,worst,1981.15,49.2855
Detached,21,T2,hybrid_bidirectional,best,1689.57,
Detached,21,T3,safe_unidirectional,worst,2537.14,536.823
Detached,21,T3,safe_unidirectional,best,2358.46,437.23
Detached,21,T3,hybrid_bidirectional,worst,1708.46,96.046
Detached,21,T3,hybrid_bidirectional,best,1238.77,
Detached,22,T1,safe_unidirectional,worst,3859.56,694.174
Detached,22,T1,safe_unidirectional,best,3609.27,587.647
Detached,22,T1,hybrid_bidirectional,worst,3125.14,172.817
Detached,22,T1,hybrid_bidirectional,best,2809.84,55.6819
Detached,22,T2,safe_unidirectional,worst,3378.23,659.226
Detached,22,T2,safe_unidirectional,best,3146.34,552.959
Detached,22,T2,hybrid_bidirectional,worst,2290.31,77.4854
Detached,22,T2,hybrid_bidirectional,best,1951.01,
Detached,22,T3,safe_unidirectional,worst,3070.35,635.105
Detached,22,T3,safe_unidirectional,best,2847.49,528.837
Detached,22,T3,hybrid_bidirectional,worst,1986.38,102.929
Detached,22,T3,hybrid_bidirectional,best,1457.2,
Detached,23,T1,safe_unidirectional,worst,3711.14,649.113
Detached,23,T1,safe_unidirectional,best,3509.6,555.473
Detached,23,T1,hybrid_bidirectional,worst,2991.83,144.016
Detached,23,T1,hybrid_bidirectional,best,2728.28,27.5679
Detached,23,T2,safe_unidirectional,worst,3250.88,612.801
Detached,23,T2,safe_unidirectional,best,3050.78,519.161
Detached,23,T2,hybrid_bidirectional,worst,2216.7,52.858
Detached,23,T2,hybrid_bidirectional,best,2001.48,
Detached,23,T3,safe_unidirectional,worst,2960.25,589.025
Detached,23,T3,safe_unidirectional,best,2762.15,495.385
Detached,23,T3,hybrid_bidirectional,worst,1964.17,82.8348
Detached,23,T3,hybrid_bidirectional,best,1489.63,
Detached,24,T1,safe_unidirectional,worst,4857.98,974.468
Detached,24,T1,safe_unidirectional,best,4585.22,860.232
Detached,24,T1,hybrid_bidirectional,worst,3887.92,388.84
Detached,24,T1,hybrid_bidirectional,best,3584.93,264.719
Detached,24,T2,safe_unidirectional,worst,4382.2,937.966
Detached,24,T2,safe_unidirectional,best,4126.92,823.731
Detached,24,T2,hybrid_bidirectional,worst,3259.63,304.617
Detached,24,T2,hybrid_bidirectional,best,2982.27,174.381
Detached,24,T3,safe_unidirectional,worst,4076.79,912.756
Detached,24,T3,safe_unidirectional,best,3819.18,798.521
Detached,24,T3,hybrid_bidirectional,worst,2911.88,359.242
Detached,24,T3,hybrid_bidirectional,best,2395.21,176.661
Detached,25,T1,safe_unidirectional,worst,4182.24,817.139
Detached,25,T1,safe_unidirectional,best,3993.41,716.358
Detached,25,T1,hybrid_bidirectional,worst,3280.25,240.043
Detached,25,T1,hybrid_bidirectional,best,3170.3,134.123
Detached,25,T2,safe_unidirectional,worst,3725.61,780.31
Detached,25,T2,safe_unidirectional,best,3546.14,679.753
Detached,25,T2,hybrid_bidirectional,worst,2707.12,169.467
Detached,25,T2,hybrid_bidirectional,best,2270.77,35.3348
Detached,25,T3,safe_unidirectional,worst,3414.37,756.033
Detached,25,T3,safe_unidirectional,best,3235.76,655.251
Detached,25,T3,hybrid_bidirectional,worst,2263.63,226.806
Detached,25,T3,hybrid_bidirectional,best,1777.32,60.2941
Detached,26,T1,safe_unidirectional,worst,3442.32,613.762
Detached,26,T1,safe_unidirectional,best,3237.18,515.082
Detached,26,T1,hybrid_bidirectional,worst,2879.07,144.857
Detached,26,T1,hybrid_bidirectional,best,2493.98,24.7769
Detached,26,T2,safe_unidirectional,worst,2968.62,579.989
Detached,26,T2,safe_unidirectional,best,2779.4,480.86
Detached,26,T2,hybrid_bidirectional,worst,1906.14,40.3142
Detached,26,T2,hybrid_bidirectional,best,1789.95,
Detached,26,T3,safe_unidirectional,worst,2662.64,555.815
Detached,26,T3,safe_unidirectional,best,2480.53,456.203
Detached,26,T3,hybrid_bidirectional,worst,1811.25,101.396
Detached,26,T3,hybrid_bidirectional,best,1420.18,
Detached,27,T1,safe_unidirectional,worst,4115.85,673.374
Detached,27,T1,safe_unidirectional,best,3923.02,577.9
Detached,27,T1,hybrid_bidirectional,worst,3295.17,181.327
Detached,27,T1,hybrid_bidirectional,best,3104.45,71.1516
Detached,27,T2,safe_unidirectional,worst,3628.42,637.114
Detached,27,T2,safe_unidirectional,best,3443.84,541.64
Detached,27,T2,hybrid_bidirectional,worst,2674.34,125.814
Detached,27,T2,hybrid_bidirectional,best,2174.1,
Detached,27,T3,safe_unidirectional,worst,3336.41,611.559
Detached,27,T3,safe_unidirectional,best,3159.79,516.085
Detached,27,T3,hybrid_bidirectional,worst,2314.61,175.509
Detached,27,T3,hybrid_bidirectional,best,1814.6,5.60706
Detached,28,T1,safe_unidirectional,worst,3832.06,676.981
Detached,28,T1,safe_unidirectional,best,3659.53,581.274
Detached,28,T1,hybrid_bidirectional,worst,3027.12,146.382
Detached,28,T1,hybrid_bidirectional,best,2888.04,44.606
Detached,28,T2,safe_unidirectional,worst,3349.73,641.446
Detached,28,T2,safe_unidirectional,best,3193.28,545.463
Detached,28,T2,hybrid_bidirectional,worst,2394.69,75.8952
Detached,28,T2,hybrid_bidirectional,best,2140.64,
Detached,28,T3,safe_unidirectional,worst,3026.53,616.548
Detached,28,T3,safe_unidirectional,best,2873.04,520.841
Detached,28,T3,hybrid_bidirectional,worst,1938.78,114.552
Detached,28,T3,hybrid_bidirectional,best,1455.06,
Detached,29,T1,safe_unidirectional,worst,4505.73,877.017
Detached,29,T1,safe_unidirectional,best,4284.64,771.338
Detached,29,T1,hybrid_bidirectional,worst,3714.39,288.153
Detached,29,T1,hybrid_bidirectional,best,3361.55,154.721
Detached,29,T2,safe_unidirectional,worst,4055.7,842.328
Detached,29,T2,safe_unidirectional,best,3840.84,736.649
Detached,29,T2,hybrid_bidirectional,worst,2977.68,193.558
Detached,29,T2,hybrid_bidirectional,best,2508.29,48.498
Detached,29,T3,safe_unidirectional,worst,3737.23,819.726
Detached,29,T3,safe_unidirectional,best,3526.1,714.047
Detached,29,T3,hybrid_bidirectional,worst,2752.27,290.511
Detached,29,T3,hybrid_bidirectional,best,2179.47,103.798
Detached,30,T1,safe_unidirectional,worst,4674.63,860.05
Detached,30,T1,safe_unidirectional,best,4486.79,765.625
Detached,30,T1,hybrid_bidirectional,worst,3760.78,249.61
Detached,30,T1,hybrid_bidirectional,best,3612.88,148.16
Detached,30,T2,safe_unidirectional,worst,4199.6,826.536
Detached,30,T2,safe_unidirectional,best,4014.3,732.111
Detached,30,T2,hybrid_bidirectional,worst,2901.79,196.066
Detached,30,T2,hybrid_bidirectional,best,2646.96,72.9271
Detached,30,T3,safe_unidirectional,worst,3870.13,802.432
Detached,30,T3,safe_unidirectional,best,3691.5,708.006
Detached,30,T3,hybrid_bidirectional,worst,2787.05,258.173
Detached,30,T3,hybrid_bidirectional,best,2117.05,74.3699
Detached,31,T1,safe_unidirectional,worst,3849.31,764.741
Detached,31,T1,safe_unidirectional,best,3629.2,660.521
Detached,31,T1,hybrid_bidirectional,worst,3119.99,225.067
Detached,31,T1,hybrid_bidirectional,best,2878.32,108.559
Detached,31,T2,safe_unidirectional,worst,3386.45,728.377
Detached,31,T2,safe_unidirectional,best,3180.19,623.881
Detached,31,T2,hybrid_bidirectional,worst,2484.9,139.986
Detached,31,T2,hybrid_bidirectional,best,2090.3,5.84773
Detached,31,T3,safe_unidirectional,worst,3085.92,703.755
Detached,31,T3,safe_unidirectional,best,2875.36,599.535
Detached,31,T3,hybrid_bidirectional,worst,2046.6,207.94
Detached,31,T3,hybrid_bidirectional,best,1636.25,45.7342
Detached,32,T1,safe_unidirectional,worst,4185.11,694.96
Detached,32,T1,safe_unidirectional,best,3954.63,587.528
Detached,32,T1,hybrid_bidirectional,worst,3471.01,214.153
Detached,32,T1,hybrid_bidirectional,best,3112.81,92.709
Detached,32,T2,safe_unidirectional,worst,3755.45,659.874
Detached,32,T2,safe_unidirectional,best,3532.73,552.201
Detached,32,T2,hybrid_bidirectional,worst,2697.82,93.5229
Detached,32,T2,hybrid_bidirectional,best,2374.05,
Detached,32,T3,safe_unidirectional,worst,3428.41,634.699
Detached,32,T3,safe_unidirectional,best,3211.01,527.026
Detached,32,T3,hybrid_bidirectional,worst,2348.32,143.265
Detached,32,T3,hybrid_bidirectional,best,1788.1,
Detached,33,T1,safe_unidirectional,worst,4114.45,789.55
Detached,33,T1,safe_unidirectional,best,3929.61,696.374
Detached,33,T1,hybrid_bidirectional,worst,2927.85,186.659
Detached,33,T1,hybrid_bidirectional,best,2948.98,102.089
Detached,33,T2,safe_unidirectional,worst,3673.02,754.585
Detached,33,T2,safe_unidirectional,best,3496.89,661.168
Detached,33,T2,hybrid_bidirectional,worst,2519.45,125.619
Detached,33,T2,hybrid_bidirectional,best,2352.13,14.6473
Detached,33,T3,safe_unidirectional,worst,3377.16,729.462
Detached,33,T3,safe_unidirectional,best,3209.39,636.045
Detached,33,T3,hybrid_bidirectional,worst,2440.62,241.036
Detached,33,T3,hybrid_bidirectional,best,2080.3,75.7344
Detached,34,T1,safe_unidirectional,worst,4546.28,904.994
Detached,34,T1,safe_unidirectional,best,4295.42,796.314
Detached,34,T1,hybrid_bidirectional,worst,3805.08,350.119
Detached,34,T1,hybrid_bidirectional,best,3633.51,237.2
Detached,34,T2,safe_unidirectional,worst,4127.67,869.84
Detached,34,T2,safe_unidirectional,best,3882.68,760.641
Detached,34,T2,hybrid_bidirectional,worst,2956.38,276.851
Detached,34,T2,hybrid_bidirectional,best,2706.39,153.252
Detached,34,T3,safe_unidirectional,worst,3807.3,845.597
Detached,34,T3,safe_unidirectional,best,3561.34,736.674
Detached,34,T3,hybrid_bidirectional,worst,2781.44,358.512
Detached,34,T3,hybrid_bidirectional,best,2261.07,184.216
Detached,35,T1,safe_unidirectional,worst,4603.69,886.139
Detached,35,T1,safe_unidirectional,best,4382.08,785.592
Detached,35,T1,hybrid_bidirectional,worst,3883.66,311.322
Detached,35,T1,hybrid_bidirectional,best,3472.83,185.535
Detached,35,T2,safe_unidirectional,worst,4124.66,850.311
Detached,35,T2,safe_unidirectional,best,3911.71,749.781
Detached,35,T2,hybrid_bidirectional,worst,3069.52,243.592
Detached,35,T2,hybrid_bidirectional,best,2657.24,116.139
Detached,35,T3,safe_unidirectional,worst,3808.43,826.207
Detached,35,T3,safe_unidirectional,best,3596.93,725.676
Detached,35,T3,hybrid_bidirectional,worst,2622.28,268.398
Detached,35,T3,hybrid_bidirectional,best,2117.68,110.012
Detached,36,T1,safe_unidirectional,worst,4634.82,844.067
Detached,36,T1,safe_unidirectional,best,4409.15,741.887
Detached,36,T1,hybrid_bidirectional,worst,3806.47,316.468
Detached,36,T1,hybrid_bidirectional,best,3405.65,186.461
Detached,36,T2,safe_unidirectional,worst,4166.74,809.81
Detached,36,T2,safe_unidirectional,best,3947.26,707.63
Detached,36,T2,hybrid_bidirectional,worst,2935.38,224.316
Detached,36,T2,hybrid_bidirectional,best,2589.8,95.0791
Detached,36,T3,safe_unidirectional,worst,3836.71,785.153
Detached,36,T3,safe_unidirectional,best,3622.14,682.974
Detached,36,T3,hybrid_bidirectional,worst,2723.48,293.311
Detached,36,T3,hybrid_bidirectional,best,2196.81,106.609
Detached,37,T1,safe_unidirectional,worst,4120.49,742.294
Detached,37,T1,safe_unidirectional,best,3901.23,638.053
Detached,37,T1,hybrid_bidirectional,worst,3317.34,188.707
Detached,37,T1,hybrid_bidirectional,best,3110.18,81.3125
Detached,37,T2,safe_unidirectional,worst,3634.87,707.191
Detached,37,T2,safe_unidirectional,best,3423.4,602.95
Detached,37,T2,hybrid_bidirectional,worst,2595.68,89.9757
Detached,37,T2,hybrid_bidirectional,best,2227.01,
Detached,37,T3,safe_unidirectional,worst,3302.47,682.241
Detached,37,T3,safe_unidirectional,best,3096.98,577.999
Detached,37,T3,hybrid_bidirectional,worst,2297.0,159.764
Detached,37,T3,hybrid_bidirectional,best,1701.69,
Detached,38,T1,safe_unidirectional,worst,4745.69,1003.27
Detached,38,T1,safe_unidirectional,best,4461.2,887.971
Detached,38,T1,hybrid_bidirectional,worst,3897.1,402.173
Detached,38,T1,hybrid_bidirectional,best,3659.42,274.831
Detached,38,T2,safe_unidirectional,worst,4283.47,968.476
Detached,38,T2,safe_unidirectional,best,4010.64,853.403
Detached,38,T2,hybrid_bidirectional,worst,3282.35,276.713
Detached,38,T2,hybrid_bidirectional,best,2822.99,136.225
Detached,38,T3,safe_unidirectional,worst,3991.6,944.7
Detached,38,T3,safe_unidirectional,best,3730.76,829.403
Detached,38,T3,hybrid_bidirectional,worst,2952.05,399.121
Detached,38,T3,hybrid_bidirectional,best,2544.71,222.468
Detached,39,T1,safe_unidirectional,worst,3781.13,669.908
