Number,Operation Policy,WFH Type,Battery,PV,Cost
1792,safe_unidirectional,3,8.9,3.65714,8665.43
1792,hybrid_unidirectional,3,8.8,3.6,8548.0
1792,optimal_bidirectional,3,1.6,2.68571,4093.14
1792,hybrid_bidirectional,3,1.5,3.2,4690.0
1792,safe_bidirectional,3,8.4,3.65714,8435.43
2018,optimal_unidirectional,1,20.2,7.94286,19220.6
2018,safe_unidirectional,1,21.1,8.85714,20777.4
2018,hybrid_unidirectional,1,21.6,8.45714,20507.4
2018,optimal_bidirectional,1,6.3,2.74286,6326.57
2018,hybrid_bidirectional,1,14.2,8.22857,16817.7
2018,safe_bidirectional,1,22.0,8.4,20620.0
2018,optimal_unidirectional,2,19.4,8.34286,19352.6
2018,safe_unidirectional,2,21.5,7.88571,19747.1
2018,hybrid_unidirectional,2,19.3,8.4,19378.0
2018,optimal_bidirectional,2,5.7,4.8,8622.0
2018,hybrid_bidirectional,2,3.8,8.45714,12319.4
2018,safe_bidirectional,2,20.8,7.94286,19496.6
2018,optimal_unidirectional,3,20.3,7.82857,19123.7
2018,safe_unidirectional,3,20.5,7.82857,19215.7
2018,hybrid_unidirectional,3,19.8,8.0,19108.0
2018,optimal_bidirectional,3,3.5,6.62857,9895.71
2018,hybrid_bidirectional,3,4.3,6.8,10478.0
2018,safe_bidirectional,3,18.5,8.28571,18867.1
2072,optimal_unidirectional,1,13.7,4.8,12302.0
2072,safe_unidirectional,1,15.3,5.42857,13823.7
2072,hybrid_unidirectional,1,15.3,5.2,13538.0
2072,optimal_bidirectional,1,2.1,1.2,2466.0
2072,hybrid_bidirectional,1,6.8,6.22857,10913.7
2072,safe_bidirectional,1,14.9,5.54286,13782.6
2072,optimal_unidirectional,2,13.9,4.8,12394.0
2072,safe_unidirectional,2,13.5,5.2,12710.0
2072,hybrid_unidirectional,2,12.1,5.48571,12423.1
2072,optimal_bidirectional,2,3.7,2.22857,4487.71
2072,hybrid_bidirectional,2,2.9,5.2,7834.0
2072,safe_bidirectional,2,13.5,5.14286,12638.6
2072,optimal_unidirectional,3,13.6,4.8,12256.0
2072,safe_unidirectional,3,13.2,4.97143,12286.3
2072,hybrid_unidirectional,3,11.5,5.6,12290.0
2072,optimal_bidirectional,3,2.3,3.94286,5986.57
2072,hybrid_bidirectional,3,2.0,4.62857,6705.71
2072,safe_bidirectional,3,12.9,5.02857,12219.7
2199,optimal_unidirectional,1,6.5,2.34286,5918.57
2199,safe_unidirectional,1,8.6,2.85714,7527.43
2199,hybrid_unidirectional,1,8.0,2.97143,7394.29
2199,optimal_bidirectional,1,0.0,0.8,1000.0
2199,hybrid_bidirectional,1,6.8,2.74286,6556.57
2199,safe_bidirectional,1,8.1,3.02857,7511.71
2199,optimal_unidirectional,2,6.7,2.34286,6010.57
2199,safe_unidirectional,2,7.3,2.4,6358.0
2199,hybrid_unidirectional,2,6.7,2.4,6082.0
2199,optimal_bidirectional,2,0.0,0.8,1000.0
2199,hybrid_bidirectional,2,1.4,2.62857,3929.71
2199,safe_bidirectional,2,7.0,2.45714,6291.43
2199,optimal_unidirectional,3,7.1,2.0,5766.0
2199,safe_unidirectional,3,7.2,2.0,5812.0
2199,hybrid_unidirectional,3,7.0,2.05714,5791.43
2199,optimal_bidirectional,3,1.2,1.48571,2409.14
2199,hybrid_bidirectional,3,1.4,2.0,3144.0
2199,safe_bidirectional,3,6.4,2.17143,5658.29
2337,optimal_unidirectional,1,12.9,1.82857,8219.71
2337,safe_unidirectional,1,13.3,2.4,9118.0
2337,hybrid_unidirectional,1,15.7,2.11429,9864.86
2337,optimal_bidirectional,1,0.0,0.8,1000.0
2337,hybrid_bidirectional,1,7.3,2.28571,6215.14
2337,safe_bidirectional,1,16.2,2.0,9952.0
2337,optimal_unidirectional,2,17.1,1.65714,9937.43
2337,safe_unidirectional,2,12.8,1.94286,8316.57
2337,hybrid_unidirectional,2,16.7,1.65714,9753.43
2337,optimal_bidirectional,2,2.7,0.171429,1456.29
2337,hybrid_bidirectional,2,3.1,2.17143,4140.29
2337,safe_bidirectional,2,14.6,1.88571,9073.14
2337,optimal_unidirectional,3,13.7,1.71429,8444.86
2337,safe_unidirectional,3,14.3,1.65714,8649.43
2337,hybrid_unidirectional,3,13.7,1.77143,8516.29
2337,optimal_bidirectional,3,1.7,1.54286,2710.57
2337,hybrid_bidirectional,3,1.9,1.94286,3302.57
2337,safe_bidirectional,3,12.8,1.71429,8030.86
2638,optimal_unidirectional,1,9.3,4.62857,10063.7
2638,safe_unidirectional,1,12.0,4.85714,11591.4
2638,hybrid_unidirectional,1,10.8,5.08571,11325.1
2638,optimal_bidirectional,1,1.9,0.971429,2088.29
2638,hybrid_bidirectional,1,6.7,4.8,9082.0
2638,safe_bidirectional,1,10.8,5.2,11468.0
2638,optimal_unidirectional,2,9.8,4.45714,10079.4
2638,safe_unidirectional,2,10.2,4.68571,10549.1
2638,hybrid_unidirectional,2,9.5,4.68571,10227.1
2638,optimal_bidirectional,2,2.4,2.0,3604.0
2638,hybrid_bidirectional,2,2.1,4.62857,6751.71
2638,safe_bidirectional,2,10.0,4.68571,10457.1
2638,optimal_unidirectional,3,9.3,4.57143,9992.29
2638,safe_unidirectional,3,9.1,4.68571,10043.1
2638,hybrid_unidirectional,3,10.1,4.28571,10003.1
2638,optimal_bidirectional,3,2.6,3.2,5196.0
2638,hybrid_bidirectional,3,2.3,3.88571,5915.14
2638,safe_bidirectional,3,8.9,4.62857,9879.71
2814,optimal_unidirectional,1,9.8,5.08571,10865.1
2814,safe_unidirectional,1,11.7,5.6,12382.0
2814,hybrid_unidirectional,1,11.3,5.54286,12126.6
2814,optimal_bidirectional,1,2.4,0.8,2104.0
2814,hybrid_bidirectional,1,7.7,5.2,10042.0
2814,safe_bidirectional,1,11.2,5.65714,12223.4
2814,optimal_unidirectional,2,9.6,5.2,10916.0
2814,safe_unidirectional,2,9.3,5.6,11278.0
2814,hybrid_unidirectional,2,9.8,5.2,11008.0
2814,optimal_bidirectional,2,1.9,2.4,3874.0
2814,hybrid_bidirectional,2,2.1,5.2,7466.0
2814,safe_bidirectional,2,10.2,5.14286,11120.6
2814,optimal_unidirectional,3,9.3,5.2,10778.0
2814,safe_unidirectional,3,9.5,5.14286,10798.6
2814,hybrid_unidirectional,3,9.7,5.08571,10819.1
2814,optimal_bidirectional,3,1.2,4.28571,5909.14
2814,hybrid_bidirectional,3,1.6,4.68571,6593.14
2814,safe_bidirectional,3,9.2,5.08571,10589.1
2980,optimal_unidirectional,1,7.7,3.65714,8113.43
2980,safe_unidirectional,1,9.5,4.34286,9798.57
2980,hybrid_unidirectional,1,9.1,4.28571,9543.14
2980,optimal_bidirectional,1,1.1,1.08571,1863.14
2980,hybrid_bidirectional,1,7.2,4.0,8312.0
2980,safe_bidirectional,1,9.4,4.28571,9681.14
2980,optimal_unidirectional,2,7.1,3.94286,8194.57
2980,safe_unidirectional,2,8.0,3.94286,8608.57
2980,hybrid_unidirectional,2,7.7,3.88571,8399.14
2980,optimal_bidirectional,2,3.2,1.14286,2900.57
2980,hybrid_bidirectional,2,4.4,3.48571,6381.14
2980,safe_bidirectional,2,7.6,4.05714,8567.43
2980,optimal_unidirectional,3,7.7,3.6,8042.0
2980,safe_unidirectional,3,7.7,3.65714,8113.43
2980,hybrid_unidirectional,3,6.7,4.0,8082.0
2980,optimal_bidirectional,3,3.5,2.8,5110.0
2980,hybrid_bidirectional,3,4.0,3.2,5840.0
2980,safe_bidirectional,3,6.8,3.88571,7985.14
2986,optimal_unidirectional,1,5.7,3.08571,6479.14
2986,safe_unidirectional,1,8.9,3.2,8094.0
2986,hybrid_unidirectional,1,8.5,3.2,7910.0
2986,optimal_bidirectional,1,1.9,0.114286,1016.86
2986,hybrid_bidirectional,1,5.6,3.2,6576.0
2986,safe_bidirectional,1,8.8,3.2,8048.0
2986,optimal_unidirectional,2,6.7,2.8,6582.0
2986,safe_unidirectional,2,7.3,2.8,6858.0
2986,hybrid_unidirectional,2,6.9,2.8,6674.0
2986,optimal_bidirectional,2,3.6,0.228571,1941.71
2986,hybrid_bidirectional,2,2.7,2.68571,4599.14
2986,safe_bidirectional,2,6.8,3.02857,6913.71
2986,optimal_unidirectional,3,6.9,2.57143,6388.29
2986,safe_unidirectional,3,6.8,2.62857,6413.71
2986,hybrid_unidirectional,3,6.9,2.57143,6388.29
2986,optimal_bidirectional,3,2.3,1.88571,3415.14
2986,hybrid_bidirectional,3,2.4,2.4,4104.0
2986,safe_bidirectional,3,5.8,2.97143,6382.29
3134,optimal_unidirectional,1,8.2,2.91429,7414.86
3134,safe_unidirectional,1,10.5,3.2,8830.0
3134,hybrid_unidirectional,1,9.9,3.25714,8625.43
3134,optimal_bidirectional,1,0.7,0.114286,464.857
3134,hybrid_bidirectional,1,6.7,3.2,7082.0
3134,safe_bidirectional,1,9.8,3.42857,8793.71
3134,optimal_unidirectional,2,8.6,2.8,7456.0
3134,safe_unidirectional,2,8.5,3.08571,7767.14
3134,hybrid_unidirectional,2,8.3,2.97143,7532.29
3134,optimal_bidirectional,2,0.6,1.2,1776.0
3134,hybrid_bidirectional,2,1.8,2.97143,4542.29
3134,safe_bidirectional,2,8.5,3.08571,7767.14
3134,optimal_unidirectional,3,8.4,2.74286,7292.57
3134,safe_unidirectional,3,8.0,2.97143,7394.29
3134,hybrid_unidirectional,3,8.3,2.8,7318.0
3134,optimal_bidirectional,3,1.0,2.17143,3174.29
3134,hybrid_bidirectional,3,1.1,2.62857,3791.71
3134,safe_bidirectional,3,8.1,2.8,7226.0
