Number,Operation Policy,WFH Type,Battery,PV,Cost
370,hybrid_bidirectional,1,0.9,5.94286,7842.57
370,safe_bidirectional,1,19.8,8.22857,19393.7
370,optimal_unidirectional,2,17.3,7.82857,17743.7
370,safe_unidirectional,2,18.2,7.91429,18264.9
370,hybrid_unidirectional,2,17.7,7.88571,17999.1
370,optimal_bidirectional,2,0.1,6.08571,7653.14
370,hybrid_bidirectional,2,0.15,6.2,7819.0
370,safe_bidirectional,2,17.95,7.82857,18042.7
370,optimal_unidirectional,3,17.05,7.65714,17414.4
370,safe_unidirectional,3,17.15,7.65714,17460.4
370,hybrid_unidirectional,3,17.05,7.65714,17414.4
370,optimal_bidirectional,3,0.1,6.85714,8617.43
370,hybrid_bidirectional,3,0.1,6.85714,8617.43
370,safe_bidirectional,3,16.8,7.62857,17263.7
744,optimal_unidirectional,1,0.0,0.8,1000.0
744,safe_unidirectional,1,0.0,0.8,1000.0
744,hybrid_unidirectional,1,0.0,0.8,1000.0
744,optimal_bidirectional,1,3.85,5.65714,8842.43
744,hybrid_bidirectional,1,7.45,7.37143,12641.3
744,safe_bidirectional,1,0.0,0.8,1000.0
744,optimal_unidirectional,2,0.0,0.8,1000.0
744,safe_unidirectional,2,0.0,0.8,1000.0
744,hybrid_unidirectional,2,0.0,0.8,1000.0
744,optimal_bidirectional,2,0.15,9.77143,12283.3
744,hybrid_bidirectional,2,0.25,10.3714,13079.3
744,safe_bidirectional,2,0.0,0.8,1000.0
744,optimal_unidirectional,3,0.0,0.8,1000.0
744,safe_unidirectional,3,0.0,0.8,1000.0
744,hybrid_unidirectional,3,0.0,0.8,1000.0
744,optimal_bidirectional,3,0.0,0.8,1000.0
744,hybrid_bidirectional,3,0.1,9.08571,11403.1
744,safe_bidirectional,3,0.0,0.8,1000.0
890,optimal_unidirectional,1,4.6,9.4,13866.0
890,safe_unidirectional,1,6.85,9.48571,15008.1
890,hybrid_unidirectional,1,5.9,9.51429,14606.9
890,optimal_bidirectional,1,0.0,0.8,1000.0
890,hybrid_bidirectional,1,0.25,5.31429,6757.86
890,safe_bidirectional,1,6.65,9.31429,14701.9
890,optimal_unidirectional,2,4.8,9.31429,13850.9
890,safe_unidirectional,2,5.55,9.34286,14231.6
890,hybrid_unidirectional,2,5.1,9.34286,14024.6
890,optimal_bidirectional,2,0.15,7.05714,8890.43
890,hybrid_bidirectional,2,0.1,6.97143,8760.29
890,safe_bidirectional,2,5.25,9.2,13915.0
890,optimal_unidirectional,3,4.7,9.22857,13697.7
890,safe_unidirectional,3,4.95,9.17143,13741.3
890,hybrid_unidirectional,3,4.7,9.22857,13697.7
890,optimal_bidirectional,3,0.0,0.8,1000.0
890,hybrid_bidirectional,3,0.0,0.8,1000.0
890,safe_bidirectional,3,4.25,9.28571,13562.1
1103,optimal_unidirectional,1,7.5,4.65714,9271.43
1103,safe_unidirectional,1,9.5,4.62857,10155.7
1103,hybrid_unidirectional,1,8.75,4.6,9775.0
1103,optimal_bidirectional,1,0.0,0.8,1000.0
1103,hybrid_bidirectional,1,3.3,2.37143,4482.29
1103,safe_bidirectional,1,9.4,4.6,10074.0
1103,optimal_unidirectional,2,7.45,4.62857,9212.71
1103,safe_unidirectional,2,8.3,4.54286,9496.57
1103,hybrid_unidirectional,2,7.8,4.6,9338.0
1103,optimal_bidirectional,2,0.1,2.68571,3403.14
1103,hybrid_bidirectional,2,0.1,3.22857,4081.71
1103,safe_bidirectional,2,8.15,4.54286,9427.57
1103,optimal_unidirectional,3,7.6,4.48571,9103.14
1103,safe_unidirectional,3,7.75,4.45714,9136.43
1103,hybrid_unidirectional,3,7.6,4.48571,9103.14
1103,optimal_bidirectional,3,0.1,3.88571,4903.14
1103,hybrid_bidirectional,3,0.1,3.85714,4867.43
1103,safe_bidirectional,3,7.35,4.51429,9023.86
1169,optimal_unidirectional,1,11.55,4.57143,11027.3
1169,safe_unidirectional,1,14.85,4.82857,12866.7
1169,hybrid_unidirectional,1,13.8,4.74286,12276.6
1169,optimal_bidirectional,1,0.15,1.6,2069.0
1169,hybrid_bidirectional,1,2.25,2.85714,4606.43
1169,safe_bidirectional,1,14.55,4.77143,12657.3
1169,optimal_unidirectional,2,11.65,4.57143,11073.3
1169,safe_unidirectional,2,12.7,4.6,11592.0
1169,hybrid_unidirectional,2,12.15,4.6,11339.0
1169,optimal_bidirectional,2,0.1,3.22857,4081.71
1169,hybrid_bidirectional,2,0.1,3.51429,4438.86
1169,safe_bidirectional,2,12.6,4.57143,11510.3
1169,optimal_unidirectional,3,11.4,4.48571,10851.1
1169,safe_unidirectional,3,11.55,4.48571,10920.1
1169,hybrid_unidirectional,3,11.35,4.51429,10863.9
1169,optimal_bidirectional,3,0.1,3.88571,4903.14
1169,hybrid_bidirectional,3,0.1,3.85714,4867.43
1169,safe_bidirectional,3,11.3,4.48571,10805.1
1192,optimal_unidirectional,1,6.95,6.74286,11625.6
1192,safe_unidirectional,1,10.95,6.74286,13465.6
1192,hybrid_unidirectional,1,9.8,6.65714,12829.4
1192,optimal_bidirectional,1,0.0,0.8,1000.0
1192,hybrid_bidirectional,1,1.0,4.22857,5745.71
1192,safe_bidirectional,1,10.8,6.65714,13289.4
1192,optimal_unidirectional,2,6.95,6.74286,11625.6
1192,safe_unidirectional,2,8.55,6.65714,12254.4
1192,hybrid_unidirectional,2,7.6,6.71429,11888.9
1192,optimal_bidirectional,2,0.0,0.8,1000.0
1192,hybrid_bidirectional,2,0.1,5.34286,6724.57
1192,safe_bidirectional,2,8.15,6.62857,12034.7
1192,optimal_unidirectional,3,6.85,6.68571,11508.1
1192,safe_unidirectional,3,7.05,6.68571,11600.1
1192,hybrid_unidirectional,3,6.85,6.68571,11508.1
1192,optimal_bidirectional,3,0.0,0.8,1000.0
1192,hybrid_bidirectional,3,0.0,0.8,1000.0
1192,safe_bidirectional,3,6.5,6.68571,11347.1

