House number,WFH Type,Operation,Solar,Battery,PV,Cost
7,T1,hybrid_bidirectional,worst,12.5625,1.75714,9720.0
7,T1,hybrid_bidirectional,best,8.4375,1.32857,6840.0
7,T2,safe_unidirectional,worst,19.5,1.97143,13500.0
7,T2,safe_unidirectional,best,13.8125,1.62857,10050.0
7,T2,hybrid_bidirectional,worst,7.125,1.45714,6480.0
7,T2,hybrid_bidirectional,best,4.5,1.15714,4590.0
7,T3,safe_unidirectional,worst,16.3125,1.62857,11250.0
7,T3,safe_unidirectional,best,11.8125,1.28571,8370.0
7,T3,hybrid_bidirectional,worst,6.25,1.28571,5700.0
7,T3,hybrid_bidirectional,best,4.4375,0.942857,4110.0
8,T1,safe_unidirectional,worst,17.375,2.57143,13740.0
8,T1,safe_unidirectional,best,13.4375,2.01429,10680.0
8,T1,hybrid_bidirectional,best,8.5625,1.62857,7530.0
8,T2,safe_unidirectional,worst,13.75,2.01429,10830.0
8,T2,safe_unidirectional,best,10.3125,1.54286,8190.0
8,T2,hybrid_bidirectional,worst,5.4375,1.45714,5670.0
8,T2,hybrid_bidirectional,best,3.625,1.07143,3990.0
8,T3,safe_unidirectional,worst,10.5625,1.75714,8760.0
8,T3,safe_unidirectional,best,8.0625,1.28571,6570.0
8,T3,hybrid_bidirectional,worst,3.4375,1.32857,4440.0
8,T3,hybrid_bidirectional,best,2.375,0.942857,3120.0
9,T1,safe_unidirectional,worst,24.4375,2.1,16140.0
9,T1,safe_unidirectional,best,17.625,1.62857,11880.0
9,T1,hybrid_bidirectional,worst,12.0625,1.84286,9660.0
9,T1,hybrid_bidirectional,best,9.4375,1.32857,7320.0
9,T2,safe_unidirectional,worst,17.875,1.71429,12180.0
9,T2,safe_unidirectional,best,14.25,1.37143,9720.0
9,T2,hybrid_bidirectional,worst,5.75,1.32857,5550.0
9,T2,hybrid_bidirectional,best,4.375,0.942857,4080.0
9,T3,safe_unidirectional,worst,15.4375,1.32857,10200.0
9,T3,safe_unidirectional,best,11.8125,1.07143,7920.0
9,T3,hybrid_bidirectional,best,4.1875,0.728571,3540.0
10,T1,safe_unidirectional,worst,22.4375,2.31429,15630.0
10,T1,safe_unidirectional,best,15.8125,1.92857,11640.0
10,T1,hybrid_bidirectional,worst,13.0625,1.97143,10410.0
10,T1,hybrid_bidirectional,best,9.375,1.45714,7560.0
10,T2,safe_unidirectional,worst,15.6875,2.1,11940.0
10,T2,safe_unidirectional,best,12.75,1.5,9270.0
10,T2,hybrid_bidirectional,worst,5.75,1.41429,5730.0
10,T2,hybrid_bidirectional,best,3.625,1.15714,4170.0
10,T3,safe_unidirectional,worst,13.5,1.62857,9900.0
10,T3,safe_unidirectional,best,10.3125,1.24286,7560.0
10,T3,hybrid_bidirectional,worst,5.0625,1.28571,5130.0
10,T3,hybrid_bidirectional,best,3.0625,1.07143,3720.0
11,T1,safe_unidirectional,worst,23.1875,2.31429,15990.0
11,T1,safe_unidirectional,best,18.125,1.75714,12390.0
11,T1,hybrid_bidirectional,worst,11.75,2.05714,9960.0
11,T1,hybrid_bidirectional,best,9.375,1.5,7650.0
11,T2,safe_unidirectional,worst,18.25,1.97143,12900.0
11,T2,safe_unidirectional,best,14.5625,1.62857,10410.0
11,T2,hybrid_bidirectional,worst,7.3125,1.37143,6390.0
11,T2,hybrid_bidirectional,best,5.25,1.07143,4770.0
11,T3,safe_unidirectional,worst,15.125,1.75714,10950.0
11,T3,safe_unidirectional,best,11.9375,1.32857,8520.0
11,T3,hybrid_bidirectional,worst,5.9375,1.32857,5640.0
11,T3,hybrid_bidirectional,best,3.625,1.07143,3990.0
12,T1,safe_unidirectional,worst,21.9375,2.14286,15030.0
12,T1,safe_unidirectional,best,16.625,1.84286,11850.0
12,T1,hybrid_bidirectional,worst,13.0625,1.97143,10410.0
12,T1,hybrid_bidirectional,best,9.6875,1.5,7800.0
12,T2,safe_unidirectional,worst,16.75,1.88571,12000.0
12,T2,safe_unidirectional,best,13.3125,1.45714,9450.0
12,T2,hybrid_bidirectional,worst,6.6875,1.32857,6000.0
12,T2,hybrid_bidirectional,best,4.375,1.07143,4350.0
12,T3,safe_unidirectional,worst,14.3125,1.45714,9930.0
12,T3,safe_unidirectional,best,10.5625,1.15714,7500.0
12,T3,hybrid_bidirectional,worst,4.9375,1.15714,4800.0
12,T3,hybrid_bidirectional,best,3.4375,0.942857,3630.0
13,T1,safe_unidirectional,worst,22.3125,3.68571,18450.0
13,T1,hybrid_bidirectional,worst,14.8125,1.75714,10800.0
13,T1,hybrid_bidirectional,best,10.4375,1.32857,7800.0
13,T2,safe_unidirectional,worst,19.9375,1.62857,12990.0
13,T2,safe_unidirectional,best,14.625,1.2,9540.0
13,T2,hybrid_bidirectional,worst,7.3125,1.2,6030.0
13,T2,hybrid_bidirectional,best,4.9375,0.942857,4350.0
13,T3,safe_unidirectional,worst,16.1875,1.11429,10110.0
13,T3,safe_unidirectional,best,12.125,0.942857,7800.0
13,T3,hybrid_bidirectional,worst,6.6875,0.771429,4830.0
13,T3,hybrid_bidirectional,best,4.5,0.642857,3510.0
14,T1,safe_unidirectional,worst,22.8125,2.1,15360.0
14,T1,hybrid_bidirectional,worst,11.75,1.88571,9600.0
14,T1,hybrid_bidirectional,best,8.5625,1.45714,7170.0
14,T2,safe_unidirectional,worst,16.5625,1.88571,11910.0
14,T2,safe_unidirectional,best,13.875,1.28571,9360.0
14,T2,hybrid_bidirectional,worst,6.25,1.32857,5790.0
14,T2,hybrid_bidirectional,best,4.4375,0.942857,4110.0
14,T3,safe_unidirectional,worst,14.75,1.32857,9870.0
14,T3,safe_unidirectional,best,10.5625,1.2,7590.0
14,T3,hybrid_bidirectional,worst,5.1875,1.15714,4920.0
14,T3,hybrid_bidirectional,best,3.125,0.985714,3570.0
15,T1,safe_unidirectional,worst,20.25,2.27143,14490.0
15,T1,safe_unidirectional,best,14.9375,1.88571,11130.0
15,T1,hybrid_bidirectional,worst,12.5625,1.88571,9990.0
15,T1,hybrid_bidirectional,best,9.5,1.5,7710.0
15,T2,safe_unidirectional,worst,16.1875,1.75714,11460.0
15,T2,safe_unidirectional,best,12.125,1.41429,8790.0
15,T2,hybrid_bidirectional,worst,5.3125,1.32857,5340.0
15,T2,hybrid_bidirectional,best,3.5,1.07143,3930.0
15,T3,safe_unidirectional,worst,12.0625,1.62857,9210.0
15,T3,safe_unidirectional,best,8.75,1.32857,6990.0
15,T3,hybrid_bidirectional,worst,4.375,1.2,4620.0
15,T3,hybrid_bidirectional,best,3.5,0.814286,3390.0
16,T1,safe_unidirectional,worst,21.3125,2.1,14640.0
16,T1,safe_unidirectional,best,14.8125,1.71429,10710.0
16,T1,hybrid_bidirectional,worst,10.6875,1.92857,9180.0
16,T1,hybrid_bidirectional,best,8.0625,1.54286,7110.0
16,T2,safe_unidirectional,worst,15.875,1.62857,11040.0
16,T2,safe_unidirectional,best,11.5,1.32857,8310.0
16,T2,hybrid_bidirectional,worst,5.1875,1.41429,5460.0
16,T2,hybrid_bidirectional,best,3.375,1.15714,4050.0
16,T3,safe_unidirectional,worst,12.0625,1.32857,8580.0
16,T3,safe_unidirectional,best,9.3125,1.07143,6720.0
16,T3,hybrid_bidirectional,worst,4.375,1.15714,4530.0
16,T3,hybrid_bidirectional,best,3.125,0.814286,3210.0
17,T1,safe_unidirectional,worst,20.6875,4.67143,19740.0
17,T1,safe_unidirectional,best,17.6875,1.62857,11910.0
17,T1,hybrid_bidirectional,worst,12.6875,2.01429,10320.0
17,T1,hybrid_bidirectional,best,9.3125,1.45714,7530.0
17,T2,safe_unidirectional,worst,17.8125,1.75714,12240.0
17,T2,safe_unidirectional,best,14.6875,1.2,9570.0
17,T2,hybrid_bidirectional,worst,6.5,1.32857,5910.0
17,T2,hybrid_bidirectional,best,4.6875,0.942857,4230.0
17,T3,safe_unidirectional,worst,15.9375,1.32857,10440.0
17,T3,safe_unidirectional,best,11.75,1.07143,7890.0
17,T3,hybrid_bidirectional,worst,6.25,0.985714,5070.0
17,T3,hybrid_bidirectional,best,4.1875,0.771429,3630.0
18,T1,safe_unidirectional,worst,18.8125,2.01429,13260.0
18,T1,safe_unidirectional,best,14.375,1.62857,10320.0
18,T1,hybrid_bidirectional,worst,12.3125,1.8,9690.0
18,T1,hybrid_bidirectional,best,9.1875,1.45714,7470.0
18,T2,safe_unidirectional,worst,14.3125,1.62857,10290.0
18,T2,safe_unidirectional,best,11.1875,1.2,7890.0
18,T2,hybrid_bidirectional,worst,5.1875,1.32857,5280.0
18,T2,hybrid_bidirectional,best,4.25,0.942857,4020.0
18,T3,safe_unidirectional,worst,11.0625,1.32857,8100.0
18,T3,safe_unidirectional,best,8.4375,1.07143,6300.0
18,T3,hybrid_bidirectional,worst,4.125,0.942857,3960.0
18,T3,hybrid_bidirectional,best,2.625,0.771429,2880.0
19,T1,safe_unidirectional,best,17.0625,1.5,11340.0
19,T1,hybrid_bidirectional,worst,12.75,1.88571,10080.0
19,T1,hybrid_bidirectional,best,9.125,1.41429,7350.0
19,T2,safe_unidirectional,worst,17.6875,1.62857,11910.0
19,T2,safe_unidirectional,best,13.75,1.2,9120.0
19,T2,hybrid_bidirectional,worst,6.625,1.2,5700.0
19,T2,hybrid_bidirectional,best,3.875,1.07143,4110.0
19,T3,safe_unidirectional,worst,15.25,1.28571,10020.0
19,T3,safe_unidirectional,best,11.1875,0.942857,7350.0
19,T3,hybrid_bidirectional,worst,6.25,0.857143,4800.0
19,T3,hybrid_bidirectional,best,3.5,0.771429,3300.0
20,T1,safe_unidirectional,worst,18.3125,2.7,14460.0
20,T1,safe_unidirectional,best,14.125,2.1,11190.0
20,T1,hybrid_bidirectional,worst,14.0625,2.01429,10980.0
20,T1,hybrid_bidirectional,best,9.625,1.75714,8310.0
20,T2,safe_unidirectional,worst,14.3125,2.22857,11550.0
20,T2,safe_unidirectional,best,10.6875,1.84286,9000.0
20,T2,hybrid_bidirectional,worst,5.625,1.67143,6210.0
20,T2,hybrid_bidirectional,best,3.5,1.32857,4470.0
20,T3,safe_unidirectional,worst,11.1875,2.01429,9600.0
20,T3,safe_unidirectional,best,8.5625,1.45714,7170.0
20,T3,hybrid_bidirectional,worst,3.9375,1.45714,4950.0
20,T3,hybrid_bidirectional,best,2.25,1.2,3600.0
21,T1,safe_unidirectional,worst,24.6875,2.31429,16710.0
21,T1,safe_unidirectional,best,18.5625,1.8,12690.0
21,T1,hybrid_bidirectional,worst,12.75,1.88571,10080.0
21,T1,hybrid_bidirectional,best,8.5,1.45714,7140.0
21,T2,safe_unidirectional,worst,18.8125,1.88571,12990.0
21,T2,safe_unidirectional,best,14.875,1.45714,10200.0
21,T2,hybrid_bidirectional,worst,6.6875,1.32857,6000.0
21,T2,hybrid_bidirectional,best,4.1875,1.07143,4260.0
21,T3,safe_unidirectional,worst,16.6875,1.41429,10980.0
21,T3,safe_unidirectional,best,12.75,1.2,8640.0
21,T3,hybrid_bidirectional,worst,6.25,1.15714,5430.0
21,T3,hybrid_bidirectional,best,3.8125,0.942857,3810.0
22,T1,safe_unidirectional,worst,18.1875,2.82857,14670.0
22,T1,safe_unidirectional,best,14.4375,2.14286,11430.0
22,T1,hybrid_bidirectional,worst,10.6875,2.14286,9630.0
22,T1,hybrid_bidirectional,best,6.875,1.88571,7260.0
22,T2,safe_unidirectional,worst,14.1875,2.27143,11580.0
22,T2,safe_unidirectional,best,10.8125,1.88571,9150.0
22,T2,hybrid_bidirectional,worst,5.25,1.62857,5940.0
22,T2,hybrid_bidirectional,best,3.25,1.32857,4350.0
22,T3,safe_unidirectional,worst,11.3125,2.01429,9660.0
22,T3,safe_unidirectional,best,8.375,1.62857,7440.0
22,T3,hybrid_bidirectional,worst,3.5625,1.54286,4950.0
22,T3,hybrid_bidirectional,best,2.0625,1.28571,3690.0
23,T1,safe_unidirectional,worst,22.625,2.31429,15720.0
23,T1,safe_unidirectional,best,16.4375,1.8,11670.0
23,T1,hybrid_bidirectional,worst,14.6875,1.88571,11010.0
23,T1,hybrid_bidirectional,best,10.375,1.5,8130.0
23,T2,safe_unidirectional,worst,17.625,1.75714,12150.0
23,T2,safe_unidirectional,best,13.25,1.5,9510.0
23,T2,hybrid_bidirectional,worst,6.25,1.45714,6060.0
23,T2,hybrid_bidirectional,best,4.25,1.07143,4290.0
23,T3,safe_unidirectional,worst,14.4375,1.5,10080.0
23,T3,safe_unidirectional,best,10.625,1.2,7620.0
23,T3,hybrid_bidirectional,worst,5.6875,1.07143,4980.0
23,T3,hybrid_bidirectional,best,3.25,0.942857,3540.0
24,T1,safe_unidirectional,worst,23.25,2.14286,15660.0
24,T1,safe_unidirectional,best,16.9375,1.62857,11550.0
24,T1,hybrid_bidirectional,worst,13.5,2.01429,10710.0
24,T2,safe_unidirectional,worst,17.4375,1.75714,12060.0
24,T2,safe_unidirectional,best,13.1875,1.37143,9210.0
24,T2,hybrid_bidirectional,worst,7.125,1.32857,6210.0
24,T2,hybrid_bidirectional,best,4.4375,1.15714,4560.0
24,T3,safe_unidirectional,worst,14.5,1.32857,9750.0
24,T3,safe_unidirectional,best,10.8125,1.07143,7440.0
24,T3,hybrid_bidirectional,worst,5.75,1.07143,5010.0
24,T3,hybrid_bidirectional,best,4.25,0.771429,3660.0
25,T1,safe_unidirectional,worst,20.625,1.88571,13860.0
25,T1,safe_unidirectional,best,15.4375,1.62857,10830.0
25,T1,hybrid_bidirectional,worst,13.25,1.75714,10050.0
25,T1,hybrid_bidirectional,best,9.8125,1.41429,7680.0
25,T2,safe_unidirectional,worst,16.5,1.45714,10980.0
25,T2,safe_unidirectional,best,12.1875,1.2,8370.0
25,T2,hybrid_bidirectional,worst,5.5625,1.24286,5280.0
25,T2,hybrid_bidirectional,best,3.875,0.942857,3840.0
25,T3,safe_unidirectional,best,9.875,0.942857,6720.0
25,T3,hybrid_bidirectional,worst,5.1875,0.771429,4110.0
25,T3,hybrid_bidirectional,best,3.125,0.685714,2940.0
26,T1,safe_unidirectional,worst,18.9375,2.22857,13770.0
26,T1,safe_unidirectional,best,15.1875,1.67143,10800.0
26,T1,hybrid_bidirectional,worst,13.125,1.75714,9990.0
26,T1,hybrid_bidirectional,best,9.3125,1.45714,7530.0
26,T2,safe_unidirectional,worst,15.0625,1.62857,10650.0
26,T2,safe_unidirectional,best,11.8125,1.28571,8370.0
26,T2,hybrid_bidirectional,worst,5.25,1.32857,5310.0
26,T2,hybrid_bidirectional,best,3.75,1.07143,4050.0
26,T3,safe_unidirectional,worst,12.0625,1.32857,8580.0
26,T3,safe_unidirectional,best,8.875,1.07143,6510.0
26,T3,hybrid_bidirectional,worst,4.0625,1.02857,4110.0
26,T3,hybrid_bidirectional,best,2.9375,0.771429,3030.0
27,T1,safe_unidirectional,worst,21.75,2.14286,14940.0
27,T1,safe_unidirectional,best,16.0625,1.62857,11130.0
27,T1,hybrid_bidirectional,worst,12.5,1.84286,9870.0
27,T1,hybrid_bidirectional,best,8.625,1.41429,7110.0
27,T2,safe_unidirectional,worst,16.5625,1.62857,11370.0
27,T2,safe_unidirectional,best,12.1875,1.41429,8820.0
27,T2,hybrid_bidirectional,worst,5.8125,1.32857,5580.0
27,T2,hybrid_bidirectional,best,3.5625,1.07143,3960.0
27,T3,safe_unidirectional,worst,13.1875,1.41429,9300.0
27,T3,safe_unidirectional,best,9.8125,1.11429,7050.0
27,T3,hybrid_bidirectional,worst,4.6875,1.07143,4500.0
27,T3,hybrid_bidirectional,best,3.375,0.771429,3240.0
28,T1,safe_unidirectional,worst,19.8125,2.7,15180.0
28,T1,safe_unidirectional,best,16.3125,1.88571,11790.0
28,T1,hybrid_bidirectional,worst,12.625,2.27143,10830.0
28,T1,hybrid_bidirectional,best,10.0625,1.62857,8250.0
28,T2,safe_unidirectional,worst,15.75,2.22857,12240.0
28,T2,safe_unidirectional,best,12.375,1.75714,9630.0
28,T2,hybrid_bidirectional,worst,5.8125,1.45714,5850.0
28,T2,hybrid_bidirectional,best,3.25,1.32857,4350.0
28,T3,safe_unidirectional,worst,13.8125,1.75714,10320.0
28,T3,hybrid_bidirectional,worst,4.5625,1.41429,5160.0
28,T3,hybrid_bidirectional,best,2.8125,1.15714,3780.0
29,T1,safe_unidirectional,worst,21.25,2.57143,15600.0
29,T1,safe_unidirectional,best,15.375,2.01429,11610.0
29,T1,hybrid_bidirectional,worst,13.125,2.14286,10800.0
29,T1,hybrid_bidirectional,best,9.4375,1.62857,7950.0
29,T2,safe_unidirectional,worst,17.125,2.1,12630.0
29,T2,safe_unidirectional,best,12.8125,1.54286,9390.0
29,T2,hybrid_bidirectional,best,3.5625,1.2,4230.0
29,T3,safe_unidirectional,worst,14.4375,1.62857,10350.0
29,T3,safe_unidirectional,best,10.4375,1.28571,7710.0
29,T3,hybrid_bidirectional,worst,4.6875,1.32857,5040.0
29,T3,hybrid_bidirectional,best,3.4375,0.942857,3630.0
30,T1,safe_unidirectional,worst,21.25,2.22857,14880.0
30,T1,safe_unidirectional,best,15.375,1.88571,11340.0
30,T1,hybrid_bidirectional,worst,12.5,1.67143,9510.0
30,T1,hybrid_bidirectional,best,9.25,1.41429,7410.0
30,T2,safe_unidirectional,worst,16.75,1.75714,11730.0
30,T2,safe_unidirectional,best,11.75,1.62857,9060.0
30,T3,safe_unidirectional,worst,12.6875,1.62857,9510.0
30,T3,safe_unidirectional,best,9.3125,1.41429,7440.0
30,T3,hybrid_bidirectional,worst,5.9375,0.942857,4830.0
30,T3,hybrid_bidirectional,best,3.9375,0.771429,3510.0
31,T1,safe_unidirectional,worst,21.9375,6.34286,23850.0
31,T1,safe_unidirectional,best,18.375,1.97143,12960.0
31,T1,hybrid_bidirectional,worst,17.4375,1.92857,12420.0
31,T2,safe_unidirectional,best,15.4375,1.58571,10740.0
31,T2,hybrid_bidirectional,worst,8.6875,1.41429,7140.0
31,T2,hybrid_bidirectional,best,5.0625,1.2,4950.0
31,T3,safe_unidirectional,worst,19.8125,1.45714,12570.0
31,T3,safe_unidirectional,best,13.9375,1.2,9210.0
31,T3,hybrid_bidirectional,worst,7.5,1.24286,6210.0
31,T3,hybrid_bidirectional,best,4.8125,0.985714,4380.0
32,T1,safe_unidirectional,worst,21.4375,2.01429,14520.0
32,T1,safe_unidirectional,best,16.1875,1.62857,11190.0
32,T1,hybrid_bidirectional,worst,13.0625,1.88571,10230.0
32,T1,hybrid_bidirectional,best,9.75,1.5,7830.0
32,T2,safe_unidirectional,worst,16.4375,1.67143,11400.0
32,T2,safe_unidirectional,best,13.375,1.32857,9210.0
32,T2,hybrid_bidirectional,worst,6.3125,1.2,5550.0
32,T2,hybrid_bidirectional,best,4.125,1.07143,4230.0
32,T3,safe_unidirectional,worst,13.9375,1.24286,9300.0
32,T3,safe_unidirectional,best,10.5,1.07143,7290.0
32,T3,hybrid_bidirectional,worst,5.625,0.942857,4680.0
32,T3,hybrid_bidirectional,best,3.75,0.771429,3420.0
33,T1,safe_unidirectional,best,15.375,1.8,11160.0
33,T1,hybrid_bidirectional,worst,11.875,1.88571,9660.0
33,T1,hybrid_bidirectional,best,8.75,1.45714,7260.0
33,T2,safe_unidirectional,worst,16.625,1.67143,11490.0
33,T2,safe_unidirectional,best,12.4375,1.5,9120.0
33,T2,hybrid_bidirectional,worst,6.3125,1.32857,5820.0
33,T3,safe_unidirectional,worst,12.9375,1.45714,9270.0
33,T3,safe_unidirectional,best,10.3125,1.11429,7290.0
33,T3,hybrid_bidirectional,worst,4.8125,1.15714,4740.0
33,T3,hybrid_bidirectional,best,3.125,0.942857,3480.0
34,T1,safe_unidirectional,worst,21.25,3.94286,18480.0
34,T1,safe_unidirectional,best,16.1875,1.71429,11370.0
34,T1,hybrid_bidirectional,worst,12.6875,1.92857,10140.0
34,T1,hybrid_bidirectional,best,8.625,1.45714,7200.0
34,T2,safe_unidirectional,worst,17.6875,1.75714,12180.0
34,T2,safe_unidirectional,best,12.9375,1.45714,9270.0
34,T2,hybrid_bidirectional,worst,6.3125,1.32857,5820.0
34,T2,hybrid_bidirectional,best,3.875,1.07143,4110.0
34,T3,safe_unidirectional,worst,14.75,1.45714,10140.0
34,T3,safe_unidirectional,best,11.125,1.07143,7590.0
34,T3,hybrid_bidirectional,worst,5.25,1.07143,4770.0
34,T3,hybrid_bidirectional,best,3.8125,0.814286,3540.0
35,T1,safe_unidirectional,worst,20.375,2.27143,14550.0
35,T1,hybrid_bidirectional,worst,10.75,1.88571,9120.0
35,T1,hybrid_bidirectional,best,8.375,1.37143,6900.0
35,T2,safe_unidirectional,worst,15.3125,1.88571,11310.0
35,T2,safe_unidirectional,best,12.1875,1.41429,8820.0
35,T2,hybrid_bidirectional,worst,5.3125,1.45714,5610.0
35,T2,hybrid_bidirectional,best,3.875,1.07143,4110.0
35,T3,safe_unidirectional,worst,13.0625,1.41429,9240.0
35,T3,safe_unidirectional,best,10.4375,1.07143,7260.0
35,T3,hybrid_bidirectional,worst,4.9375,1.07143,4620.0
35,T3,hybrid_bidirectional,best,3.125,0.942857,3480.0
36,T1,safe_unidirectional,worst,22.625,3.85714,18960.0
36,T1,safe_unidirectional,best,17.125,1.97143,12360.0
36,T1,hybrid_bidirectional,worst,12.6875,2.01429,10320.0
36,T1,hybrid_bidirectional,best,9.75,1.54286,7920.0
36,T2,safe_unidirectional,worst,18.75,1.88571,12960.0
36,T2,safe_unidirectional,best,14.0625,1.5,9900.0
36,T2,hybrid_bidirectional,worst,6.875,1.45714,6360.0
36,T2,hybrid_bidirectional,best,5.0625,1.07143,4680.0
36,T3,safe_unidirectional,worst,15.3125,1.62857,10770.0
36,T3,safe_unidirectional,best,11.9375,1.2,8250.0
36,T3,hybrid_bidirectional,worst,5.6875,1.2,5250.0
36,T3,hybrid_bidirectional,best,3.625,0.985714,3810.0
37,T1,safe_unidirectional,worst,23.25,2.82857,17100.0
37,T1,hybrid_bidirectional,worst,13.5625,1.8,10290.0
37,T1,hybrid_bidirectional,best,9.3125,1.41429,7440.0
37,T2,safe_unidirectional,worst,19.125,1.97143,13320.0
37,T2,safe_unidirectional,best,13.75,1.67143,10110.0
37,T2,hybrid_bidirectional,best,4.25,1.2,4560.0
37,T3,safe_unidirectional,worst,14.75,2.01429,11310.0
37,T3,safe_unidirectional,best,12.0625,1.32857,8580.0
37,T3,hybrid_bidirectional,worst,5.625,1.45714,5760.0
37,T3,hybrid_bidirectional,best,3.625,1.07143,3990.0
38,T1,safe_unidirectional,worst,23.75,3.21429,18150.0
38,T1,safe_unidirectional,best,16.9375,1.75714,11820.0
38,T1,hybrid_bidirectional,worst,14.375,1.88571,10860.0
38,T1,hybrid_bidirectional,best,10.9375,1.28571,7950.0
38,T2,safe_unidirectional,worst,18.75,1.62857,12420.0
38,T2,hybrid_bidirectional,worst,7.375,1.2,6060.0
38,T2,hybrid_bidirectional,best,4.6875,0.942857,4230.0
38,T3,safe_unidirectional,worst,16.5,1.2,10440.0
38,T3,hybrid_bidirectional,worst,6.9375,0.771429,4950.0
38,T3,hybrid_bidirectional,best,3.9375,0.771429,3510.0
39,T1,safe_unidirectional,worst,22.875,5.31429,22140.0
39,T1,safe_unidirectional,best,18.4375,1.62857,12270.0
39,T1,hybrid_bidirectional,worst,14.3125,1.71429,10470.0
39,T1,hybrid_bidirectional,best,10.3125,1.28571,7650.0
