Number,Operation Policy,WFH Type,Battery,PV,ev_charged,ev_discharged,stat_charged,stat_discharged
252,optimal_unidirectional,1,17.5,7.82857,18.0,0.0,888.0,785.0
252,safe_unidirectional,1,20.1,8.0,154.0,0.0,1004.0,920.0
252,hybrid_unidirectional,1,19.5,8.0,145.0,0.0,968.0,858.0
252,optimal_bidirectional,1,2.6,3.6,48.0,1369.0,32.0,40.0
252,hybrid_bidirectional,1,10.3,7.88571,1489.0,1391.0,469.0,430.0
252,safe_bidirectional,1,19.9,8.0,1053.0,964.0,991.0,909.0
252,optimal_unidirectional,2,18.2,7.48571,37.0,0.0,850.0,745.0
252,safe_unidirectional,2,18.2,7.88571,42.0,0.0,922.0,828.0
252,hybrid_unidirectional,2,17.5,7.88571,39.0,0.0,872.0,772.0
252,optimal_bidirectional,2,2.4,5.54286,359.0,1103.0,27.0,28.0
252,hybrid_bidirectional,2,4.6,7.65714,1465.0,1351.0,121.0,108.0
252,safe_bidirectional,2,18.3,7.82857,1012.0,1041.0,924.0,819.0
252,optimal_unidirectional,3,17.6,7.65714,4.0,0.0,881.0,782.0
252,safe_unidirectional,3,18.2,7.48571,4.0,0.0,879.0,778.0
252,hybrid_unidirectional,3,18.2,7.42857,3.0,0.0,868.0,766.0
252,optimal_bidirectional,3,3.0,6.68571,784.0,931.0,16.0,14.0
252,hybrid_bidirectional,3,2.4,7.42857,1093.0,1076.0,20.0,17.0
252,safe_bidirectional,3,17.5,7.48571,1087.0,1169.0,845.0,744.0
370,optimal_unidirectional,1,10.1,5.6,13.0,0.0,514.0,380.0
370,safe_unidirectional,1,12.5,6.0,154.0,0.0,652.0,510.0
370,hybrid_unidirectional,1,11.8,6.05714,134.0,0.0,630.0,447.0
370,optimal_bidirectional,1,1.6,1.08571,0.0,592.0,0.0,0.0
370,hybrid_bidirectional,1,7.7,5.6,923.0,465.0,341.0,256.0
370,safe_bidirectional,1,11.9,6.17143,331.0,196.0,642.0,508.0
370,optimal_unidirectional,2,10.0,5.6,27.0,0.0,501.0,365.0
370,safe_unidirectional,2,10.4,5.88571,42.0,0.0,560.0,420.0
370,hybrid_unidirectional,2,10.5,5.6,31.0,0.0,522.0,383.0
370,optimal_bidirectional,2,1.8,2.57143,47.0,476.0,4.0,12.0
370,hybrid_bidirectional,2,1.6,5.6,1017.0,624.0,26.0,21.0
370,safe_bidirectional,2,11.2,5.54286,237.0,218.0,565.0,418.0
370,optimal_unidirectional,3,9.7,5.6,2.0,0.0,510.0,380.0
370,safe_unidirectional,3,10.1,5.48571,4.0,0.0,521.0,384.0
370,hybrid_unidirectional,3,10.4,5.37143,2.0,0.0,521.0,380.0
370,optimal_bidirectional,3,1.2,4.4,443.0,427.0,2.0,0.0
370,hybrid_bidirectional,3,1.0,5.08571,717.0,529.0,0.0,0.0
370,safe_bidirectional,3,9.9,5.48571,195.0,221.0,504.0,374.0
545,optimal_unidirectional,1,6.8,5.54286,14.0,0.0,379.0,255.0
545,safe_unidirectional,1,8.2,6.22857,154.0,0.0,491.0,381.0
545,hybrid_unidirectional,1,8.3,6.0,133.0,0.0,493.0,304.0
545,optimal_bidirectional,1,2.9,1.02857,0.0,405.0,0.0,8.0
545,hybrid_bidirectional,1,4.6,5.6,824.0,302.0,217.0,159.0
545,safe_bidirectional,1,9.3,5.82857,236.0,103.0,544.0,411.0
545,optimal_unidirectional,2,6.1,5.82857,32.0,0.0,341.0,235.0
545,safe_unidirectional,2,7.1,5.82857,42.0,0.0,404.0,288.0
545,hybrid_unidirectional,2,6.5,5.77143,33.0,0.0,371.0,249.0
545,optimal_bidirectional,2,3.9,1.94286,59.0,409.0,22.0,24.0
545,hybrid_bidirectional,2,2.2,4.97143,893.0,427.0,50.0,37.0
545,safe_bidirectional,2,6.2,6.0,147.0,125.0,360.0,253.0
545,optimal_unidirectional,3,7.5,5.2,2.0,0.0,409.0,268.0
545,safe_unidirectional,3,6.6,5.6,4.0,0.0,364.0,252.0
545,hybrid_unidirectional,3,6.5,5.6,3.0,0.0,364.0,246.0
545,optimal_bidirectional,3,3.1,3.6,452.0,325.0,34.0,14.0
545,hybrid_bidirectional,3,2.7,4.22857,639.0,373.0,44.0,23.0
545,safe_bidirectional,3,7.3,5.2,95.0,112.0,408.0,262.0
744,optimal_unidirectional,1,17.9,3.2,12.0,0.0,447.0,276.0
744,safe_unidirectional,1,19.5,3.77143,154.0,0.0,584.0,425.0
744,hybrid_unidirectional,1,19.4,3.6,139.0,0.0,554.0,358.0
744,optimal_bidirectional,1,0.2,2.11429,65.0,380.0,0.0,0.0
744,hybrid_bidirectional,1,12.0,3.82857,461.0,173.0,464.0,288.0
744,safe_bidirectional,1,19.4,3.88571,209.0,70.0,603.0,438.0
744,optimal_unidirectional,2,18.1,3.25714,27.0,0.0,444.0,263.0
744,safe_unidirectional,2,18.4,3.37143,42.0,0.0,505.0,329.0
744,hybrid_unidirectional,2,18.3,3.2,29.0,0.0,449.0,264.0
744,optimal_bidirectional,2,2.7,1.77143,85.0,359.0,8.0,15.0
744,hybrid_bidirectional,2,4.4,4.0,573.0,315.0,152.0,90.0
744,safe_bidirectional,2,17.7,3.6,104.0,76.0,528.0,343.0
744,optimal_unidirectional,3,17.1,3.42857,1.0,0.0,485.0,296.0
744,safe_unidirectional,3,16.9,3.6,4.0,0.0,509.0,308.0
744,hybrid_unidirectional,3,17.3,3.42857,1.0,0.0,485.0,296.0
744,optimal_bidirectional,3,4.5,2.4,265.0,260.0,35.0,9.0
744,hybrid_bidirectional,3,3.9,3.2,486.0,326.0,52.0,22.0
744,safe_bidirectional,3,17.7,3.2,79.0,85.0,453.0,282.0
890,optimal_unidirectional,1,5.8,4.45714,10.0,0.0,251.0,145.0
890,safe_unidirectional,1,8.5,4.8,154.0,0.0,397.0,285.0
890,hybrid_unidirectional,1,8.0,4.8,138.0,0.0,368.0,200.0
890,optimal_bidirectional,1,1.2,1.14286,0.0,261.0,0.0,0.0
890,hybrid_bidirectional,1,4.8,4.8,585.0,154.0,207.0,121.0
890,safe_bidirectional,1,7.7,5.02857,206.0,64.0,370.0,278.0
890,optimal_unidirectional,2,7.3,3.94286,22.0,0.0,274.0,146.0
890,safe_unidirectional,2,5.7,4.97143,42.0,0.0,263.0,170.0
890,hybrid_unidirectional,2,5.7,4.74286,29.0,0.0,260.0,147.0
890,optimal_bidirectional,2,3.6,1.14286,0.0,272.0,0.0,0.0
890,hybrid_bidirectional,2,3.7,3.6,618.0,243.0,77.0,46.0
890,safe_bidirectional,2,5.8,4.8,99.0,65.0,276.0,170.0
890,optimal_unidirectional,3,6.8,4.0,3.0,0.0,266.0,149.0
890,safe_unidirectional,3,6.8,4.05714,4.0,0.0,267.0,153.0
890,hybrid_unidirectional,3,6.8,4.0,3.0,0.0,266.0,149.0
890,optimal_bidirectional,3,3.3,2.74286,174.0,165.0,7.0,1.0
890,hybrid_bidirectional,3,2.6,3.54286,404.0,211.0,18.0,5.0
890,safe_bidirectional,3,6.8,3.94286,98.0,102.0,266.0,148.0
1103,optimal_unidirectional,1,7.3,1.82857,4.0,0.0,176.0,34.0
1103,safe_unidirectional,1,9.0,2.4,154.0,0.0,261.0,160.0
1103,hybrid_unidirectional,1,8.8,2.34286,117.0,0.0,246.0,113.0
1103,optimal_bidirectional,1,0.3,0.171429,0.0,37.0,0.0,0.0
1103,hybrid_bidirectional,1,5.8,2.4,222.0,7.0,187.0,61.0
1103,safe_bidirectional,1,8.9,2.4,157.0,5.0,259.0,160.0
1103,optimal_unidirectional,2,6.9,2.0,10.0,0.0,189.0,34.0
1103,safe_unidirectional,2,7.9,2.0,42.0,0.0,211.0,77.0
1103,hybrid_unidirectional,2,7.3,1.94286,11.0,0.0,191.0,37.0
1103,optimal_bidirectional,2,0.0,0.8,0.0,34.0,0.0,0.0
1103,hybrid_bidirectional,2,1.7,2.17143,259.0,27.0,24.0,5.0
1103,safe_bidirectional,2,7.6,2.0,46.0,4.0,208.0,76.0
1103,optimal_unidirectional,3,6.9,1.94286,2.0,0.0,184.0,35.0
1103,safe_unidirectional,3,7.5,1.77143,4.0,0.0,166.0,39.0
1103,hybrid_unidirectional,3,7.1,1.88571,1.0,0.0,179.0,35.0
1103,optimal_bidirectional,3,1.7,1.25714,0.0,32.0,0.0,0.0
1103,hybrid_bidirectional,3,1.2,1.88571,230.0,39.0,11.0,0.0
1103,safe_bidirectional,3,6.7,1.88571,8.0,4.0,179.0,38.0
1169,optimal_unidirectional,1,7.2,3.08571,16.0,0.0,325.0,85.0
1169,safe_unidirectional,1,9.7,3.48571,154.0,0.0,465.0,250.0
1169,hybrid_unidirectional,1,9.0,3.54286,140.0,0.0,429.0,127.0
1169,optimal_bidirectional,1,0.0,0.8,0.0,283.0,0.0,0.0
1169,hybrid_bidirectional,1,5.9,3.2,695.0,254.0,242.0,69.0
1169,safe_bidirectional,1,9.7,3.42857,270.0,125.0,464.0,247.0
1169,optimal_unidirectional,2,7.1,3.2,27.0,0.0,326.0,84.0
1169,safe_unidirectional,2,8.3,3.08571,42.0,0.0,382.0,146.0
1169,hybrid_unidirectional,2,8.0,2.97143,28.0,0.0,343.0,98.0
1169,optimal_bidirectional,2,1.5,0.628571,0.0,217.0,0.0,0.0
1169,hybrid_bidirectional,2,1.7,2.85714,729.0,291.0,19.0,11.0
1169,safe_bidirectional,2,7.8,3.2,158.0,125.0,364.0,138.0
1169,optimal_unidirectional,3,7.2,3.08571,3.0,0.0,332.0,86.0
1169,safe_unidirectional,3,7.1,3.14286,4.0,0.0,335.0,89.0
1169,hybrid_unidirectional,3,7.1,3.08571,3.0,0.0,327.0,86.0
1169,optimal_bidirectional,3,1.2,2.0,196.0,139.0,1.0,0.0
1169,hybrid_bidirectional,3,1.2,2.4,460.0,176.0,4.0,0.0
1169,safe_bidirectional,3,8.0,2.68571,126.0,132.0,309.0,97.0
1192,optimal_unidirectional,1,7.4,2.8,8.0,0.0,246.0,109.0
1192,safe_unidirectional,1,8.7,3.6,154.0,0.0,388.0,233.0
1192,hybrid_unidirectional,1,8.8,3.42857,128.0,0.0,377.0,155.0
1192,optimal_bidirectional,1,2.1,0.171429,0.0,187.0,0.0,0.0
1192,hybrid_bidirectional,1,5.4,3.6,460.0,96.0,220.0,82.0
1192,safe_bidirectional,1,8.6,3.6,186.0,37.0,383.0,229.0
1192,optimal_unidirectional,2,6.5,3.2,22.0,0.0,273.0,95.0
1192,safe_unidirectional,2,7.4,3.25714,42.0,0.0,308.0,144.0
1192,hybrid_unidirectional,2,7.8,2.8,22.0,0.0,258.0,107.0
1192,optimal_bidirectional,2,1.4,1.31429,0.0,205.0,0.0,4.0
1192,hybrid_bidirectional,2,2.1,3.08571,524.0,159.0,36.0,21.0
1192,safe_bidirectional,2,6.7,3.42857,83.0,52.0,300.0,141.0
1192,optimal_unidirectional,3,7.3,2.8,2.0,0.0,248.0,111.0
1192,safe_unidirectional,3,6.3,3.2,4.0,0.0,257.0,102.0
1192,hybrid_unidirectional,3,7.6,2.74286,2.0,0.0,248.0,110.0
1192,optimal_bidirectional,3,2.5,2.05714,197.0,134.0,4.0,1.0
1192,hybrid_bidirectional,3,2.7,2.4,357.0,151.0,10.0,2.0
1192,safe_bidirectional,3,7.2,2.8,49.0,54.0,247.0,111.0
1792,optimal_unidirectional,1,9.9,3.2,10.0,0.0,400.0,139.0
1792,safe_unidirectional,1,11.3,4.0,154.0,0.0,530.0,274.0
1792,hybrid_unidirectional,1,10.3,4.28571,124.0,0.0,506.0,219.0
1792,optimal_bidirectional,1,2.3,0.114286,0.0,197.0,0.0,0.0
1792,hybrid_bidirectional,1,6.3,3.94286,387.0,86.0,309.0,113.0
1792,safe_bidirectional,1,10.5,4.28571,177.0,24.0,524.0,272.0
1792,optimal_unidirectional,2,9.2,3.48571,25.0,0.0,402.0,137.0
1792,safe_unidirectional,2,10.1,3.6,42.0,0.0,445.0,190.0
1792,hybrid_unidirectional,2,9.6,3.48571,26.0,0.0,413.0,141.0
1792,optimal_bidirectional,2,1.9,1.2,0.0,203.0,0.0,3.0
1792,hybrid_bidirectional,2,1.9,3.54286,536.0,179.0,49.0,11.0
1792,safe_bidirectional,2,9.0,3.88571,76.0,37.0,436.0,185.0
1792,optimal_unidirectional,3,9.2,3.48571,3.0,0.0,401.0,143.0
1792,safe_unidirectional,3,8.9,3.65714,4.0,0.0,406.0,147.0
1792,hybrid_unidirectional,3,8.8,3.6,3.0,0.0,399.0,142.0
1792,optimal_bidirectional,3,1.6,2.68571,328.0,199.0,14.0,3.0
1792,hybrid_bidirectional,3,1.5,3.2,470.0,199.0,33.0,6.0
1792,safe_bidirectional,3,8.4,3.65714,40.0,41.0,400.0,141.0
2018,optimal_unidirectional,1,20.2,7.94286,23.0,0.0,1160.0,907.0
2018,safe_unidirectional,1,21.1,8.85714,154.0,0.0,1319.0,1040.0
2018,hybrid_unidirectional,1,21.6,8.45714,137.0,0.0,1283.0,1003.0
2018,optimal_bidirectional,1,6.3,2.74286,46.0,1006.0,101.0,105.0
2018,hybrid_bidirectional,1,14.2,8.22857,1186.0,886.0,819.0,624.0
2018,safe_bidirectional,1,22.0,8.4,548.0,437.0,1315.0,1047.0
2018,optimal_unidirectional,2,19.4,8.34286,34.0,0.0,1162.0,894.0
2018,safe_unidirectional,2,21.5,7.88571,42.0,0.0,1215.0,958.0
2018,hybrid_unidirectional,2,19.3,8.4,36.0,0.0,1160.0,899.0
2018,optimal_bidirectional,2,5.7,4.8,442.0,922.0,115.0,100.0
2018,hybrid_bidirectional,2,3.8,8.45714,1440.0,1151.0,167.0,139.0
2018,safe_bidirectional,2,20.8,7.94286,470.0,475.0,1190.0,932.0
2018,optimal_unidirectional,3,20.3,7.82857,2.0,0.0,1157.0,916.0
2018,safe_unidirectional,3,20.5,7.82857,4.0,0.0,1162.0,923.0
2018,hybrid_unidirectional,3,19.8,8.0,3.0,0.0,1154.0,912.0
2018,optimal_bidirectional,3,3.5,6.62857,1044.0,977.0,83.0,62.0
2018,hybrid_bidirectional,3,4.3,6.8,1131.0,982.0,114.0,87.0
2018,safe_bidirectional,3,18.5,8.28571,470.0,517.0,1128.0,875.0
2072,optimal_unidirectional,1,13.7,4.8,13.0,0.0,701.0,511.0
2072,safe_unidirectional,1,15.3,5.42857,154.0,0.0,834.0,654.0
2072,hybrid_unidirectional,1,15.3,5.2,136.0,0.0,803.0,567.0
2072,optimal_bidirectional,1,2.1,1.2,0.0,657.0,0.0,2.0
2072,hybrid_bidirectional,1,6.8,6.22857,995.0,568.0,334.0,277.0
2072,safe_bidirectional,1,14.9,5.54286,337.0,220.0,831.0,654.0
2072,optimal_unidirectional,2,13.9,4.8,32.0,0.0,694.0,508.0
2072,safe_unidirectional,2,13.5,5.2,42.0,0.0,729.0,555.0
2072,hybrid_unidirectional,2,12.1,5.48571,34.0,0.0,680.0,491.0
2072,optimal_bidirectional,2,3.7,2.22857,66.0,579.0,24.0,39.0
2072,hybrid_bidirectional,2,2.9,5.2,1122.0,743.0,72.0,66.0
2072,safe_bidirectional,2,13.5,5.14286,234.0,237.0,739.0,552.0
2072,optimal_unidirectional,3,13.6,4.8,2.0,0.0,707.0,524.0
2072,safe_unidirectional,3,13.2,4.97143,4.0,0.0,710.0,527.0
2072,hybrid_unidirectional,3,11.5,5.6,3.0,0.0,661.0,497.0
2072,optimal_bidirectional,3,2.3,3.94286,571.0,581.0,9.0,7.0
2072,hybrid_bidirectional,3,2.0,4.62857,904.0,680.0,12.0,8.0
2072,safe_bidirectional,3,12.9,5.02857,213.0,248.0,702.0,521.0
2199,optimal_unidirectional,1,6.5,2.34286,5.0,0.0,139.0,60.0
2199,safe_unidirectional,1,8.6,2.85714,154.0,0.0,271.0,197.0
2199,hybrid_unidirectional,1,8.0,2.97143,135.0,0.0,263.0,133.0
2199,optimal_bidirectional,1,0.0,0.8,0.0,114.0,0.0,0.0
2199,hybrid_bidirectional,1,6.8,2.74286,373.0,55.0,193.0,88.0
2199,safe_bidirectional,1,8.1,3.02857,170.0,23.0,285.0,207.0
2199,optimal_unidirectional,2,6.7,2.34286,6.0,0.0,139.0,51.0
2199,safe_unidirectional,2,7.3,2.4,42.0,0.0,175.0,107.0
2199,hybrid_unidirectional,2,6.7,2.4,12.0,0.0,154.0,56.0
2199,optimal_bidirectional,2,0.0,0.8,0.0,111.0,0.0,0.0
2199,hybrid_bidirectional,2,1.4,2.62857,422.0,112.0,10.0,3.0
2199,safe_bidirectional,2,7.0,2.45714,55.0,23.0,182.0,108.0
2199,optimal_unidirectional,3,7.1,2.0,0.0,0.0,71.0,46.0
2199,safe_unidirectional,3,7.2,2.0,4.0,0.0,71.0,51.0
2199,hybrid_unidirectional,3,7.0,2.05714,0.0,0.0,81.0,48.0
2199,optimal_bidirectional,3,1.2,1.48571,0.0,51.0,0.0,0.0
2199,hybrid_bidirectional,3,1.4,2.0,197.0,75.0,2.0,0.0
2199,safe_bidirectional,3,6.4,2.17143,24.0,27.0,114.0,55.0
2337,optimal_unidirectional,1,12.9,1.82857,6.0,0.0,196.0,58.0
2337,safe_unidirectional,1,13.3,2.4,154.0,0.0,317.0,216.0
2337,hybrid_unidirectional,1,15.7,2.11429,136.0,0.0,257.0,129.0
2337,optimal_bidirectional,1,0.0,0.8,0.0,192.0,0.0,0.0
2337,hybrid_bidirectional,1,7.3,2.28571,433.0,128.0,205.0,81.0
2337,safe_bidirectional,1,16.2,2.0,201.0,64.0,254.0,184.0
2337,optimal_unidirectional,2,17.1,1.65714,8.0,0.0,142.0,44.0
2337,safe_unidirectional,2,12.8,1.94286,42.0,0.0,225.0,111.0
2337,hybrid_unidirectional,2,16.7,1.65714,14.0,0.0,142.0,47.0
2337,optimal_bidirectional,2,2.7,0.171429,0.0,181.0,0.0,1.0
2337,hybrid_bidirectional,2,3.1,2.17143,422.0,161.0,50.0,13.0
2337,safe_bidirectional,2,14.6,1.88571,100.0,71.0,220.0,107.0
2337,optimal_unidirectional,3,13.7,1.71429,0.0,0.0,173.0,57.0
2337,safe_unidirectional,3,14.3,1.65714,4.0,0.0,160.0,58.0
2337,hybrid_unidirectional,3,13.7,1.77143,0.0,0.0,192.0,61.0
2337,optimal_bidirectional,3,1.7,1.54286,123.0,124.0,2.0,1.0
2337,hybrid_bidirectional,3,1.9,1.94286,317.0,147.0,4.0,1.0
2337,safe_bidirectional,3,12.8,1.71429,66.0,79.0,172.0,58.0
2638,optimal_unidirectional,1,9.3,4.62857,13.0,0.0,431.0,216.0
2638,safe_unidirectional,1,12.0,4.85714,154.0,0.0,550.0,359.0
2638,hybrid_unidirectional,1,10.8,5.08571,136.0,0.0,525.0,290.0
2638,optimal_bidirectional,1,1.9,0.971429,0.0,353.0,0.0,11.0
2638,hybrid_bidirectional,1,6.7,4.8,571.0,224.0,328.0,158.0
2638,safe_bidirectional,1,10.8,5.2,226.0,85.0,540.0,349.0
2638,optimal_unidirectional,2,9.8,4.45714,30.0,0.0,421.0,218.0
2638,safe_unidirectional,2,10.2,4.68571,42.0,0.0,471.0,266.0
2638,hybrid_unidirectional,2,9.5,4.68571,34.0,0.0,424.0,216.0
2638,optimal_bidirectional,2,2.4,2.0,104.0,415.0,16.0,14.0
2638,hybrid_bidirectional,2,2.1,4.62857,679.0,391.0,52.0,20.0
2638,safe_bidirectional,2,10.0,4.68571,132.0,101.0,462.0,259.0
2638,optimal_unidirectional,3,9.3,4.57143,3.0,0.0,432.0,223.0
2638,safe_unidirectional,3,9.1,4.68571,4.0,0.0,431.0,228.0
2638,hybrid_unidirectional,3,10.1,4.28571,3.0,0.0,426.0,239.0
2638,optimal_bidirectional,3,2.6,3.2,420.0,331.0,19.0,14.0
2638,hybrid_bidirectional,3,2.3,3.88571,566.0,373.0,32.0,9.0
2638,safe_bidirectional,3,8.9,4.62857,140.0,159.0,424.0,216.0
2814,optimal_unidirectional,1,9.8,5.08571,19.0,0.0,489.0,290.0
2814,safe_unidirectional,1,11.7,5.6,154.0,0.0,629.0,436.0
2814,hybrid_unidirectional,1,11.3,5.54286,133.0,0.0,603.0,354.0
2814,optimal_bidirectional,1,2.4,0.8,0.0,380.0,0.0,0.0
2814,hybrid_bidirectional,1,7.7,5.2,562.0,222.0,364.0,233.0
2814,safe_bidirectional,1,11.2,5.65714,219.0,78.0,610.0,429.0
2814,optimal_unidirectional,2,9.6,5.2,30.0,0.0,498.0,295.0
2814,safe_unidirectional,2,9.3,5.6,42.0,0.0,508.0,327.0
2814,hybrid_unidirectional,2,9.8,5.2,31.0,0.0,512.0,298.0
2814,optimal_bidirectional,2,1.9,2.4,81.0,406.0,7.0,13.0
2814,hybrid_bidirectional,2,2.1,5.2,775.0,402.0,44.0,40.0
2814,safe_bidirectional,2,10.2,5.14286,136.0,104.0,523.0,330.0
2814,optimal_unidirectional,3,9.3,5.2,2.0,0.0,489.0,296.0
2814,safe_unidirectional,3,9.5,5.14286,4.0,0.0,487.0,298.0
2814,hybrid_unidirectional,3,9.7,5.08571,2.0,0.0,488.0,297.0
2814,optimal_bidirectional,3,1.2,4.28571,523.0,394.0,8.0,1.0
2814,hybrid_bidirectional,3,1.6,4.68571,712.0,414.0,13.0,10.0
2814,safe_bidirectional,3,9.2,5.08571,108.0,118.0,469.0,292.0
2980,optimal_unidirectional,1,7.7,3.65714,3.0,0.0,107.0,26.0
2980,safe_unidirectional,1,9.5,4.34286,154.0,0.0,179.0,112.0
2980,hybrid_unidirectional,1,9.1,4.28571,127.0,0.0,163.0,70.0
2980,optimal_bidirectional,1,1.1,1.08571,0.0,167.0,0.0,0.0
2980,hybrid_bidirectional,1,7.2,4.0,516.0,128.0,131.0,52.0
2980,safe_bidirectional,1,9.4,4.28571,208.0,70.0,173.0,109.0
2980,optimal_unidirectional,2,7.1,3.94286,7.0,0.0,116.0,26.0
2980,safe_unidirectional,2,8.0,3.94286,42.0,0.0,135.0,58.0
2980,hybrid_unidirectional,2,7.7,3.88571,18.0,0.0,116.0,26.0
2980,optimal_bidirectional,2,3.2,1.14286,0.0,253.0,0.0,1.0
2980,hybrid_bidirectional,2,4.4,3.48571,556.0,200.0,43.0,10.0
2980,safe_bidirectional,2,7.6,4.05714,105.0,82.0,146.0,56.0
2980,optimal_unidirectional,3,7.7,3.6,1.0,0.0,104.0,27.0
2980,safe_unidirectional,3,7.7,3.65714,4.0,0.0,110.0,35.0
2980,hybrid_unidirectional,3,6.7,4.0,1.0,0.0,127.0,40.0
2980,optimal_bidirectional,3,3.5,2.8,68.0,68.0,25.0,4.0
2980,hybrid_bidirectional,3,4.0,3.2,232.0,73.0,37.0,4.0
2980,safe_bidirectional,3,6.8,3.88571,107.0,123.0,122.0,35.0
2986,optimal_unidirectional,1,5.7,3.08571,13.0,0.0,189.0,44.0
2986,safe_unidirectional,1,8.9,3.2,154.0,0.0,305.0,182.0
2986,hybrid_unidirectional,1,8.5,3.2,132.0,0.0,285.0,122.0
2986,optimal_bidirectional,1,1.9,0.114286,0.0,116.0,0.0,0.0
2986,hybrid_bidirectional,1,5.6,3.2,361.0,68.0,205.0,67.0
2986,safe_bidirectional,1,8.8,3.2,171.0,29.0,303.0,181.0
2986,optimal_unidirectional,2,6.7,2.8,17.0,0.0,189.0,41.0
2986,safe_unidirectional,2,7.3,2.8,42.0,0.0,210.0,85.0
2986,hybrid_unidirectional,2,6.9,2.8,21.0,0.0,192.0,44.0
2986,optimal_bidirectional,2,3.6,0.228571,0.0,134.0,0.0,0.0
2986,hybrid_bidirectional,2,2.7,2.68571,341.0,104.0,63.0,14.0
2986,safe_bidirectional,2,6.8,3.02857,62.0,32.0,222.0,90.0
2986,optimal_unidirectional,3,6.9,2.57143,1.0,0.0,166.0,37.0
2986,safe_unidirectional,3,6.8,2.62857,4.0,0.0,177.0,43.0
2986,hybrid_unidirectional,3,6.9,2.57143,1.0,0.0,166.0,37.0
2986,optimal_bidirectional,3,2.3,1.88571,85.0,58.0,20.0,3.0
2986,hybrid_bidirectional,3,2.4,2.4,225.0,77.0,40.0,4.0
2986,safe_bidirectional,3,5.8,2.97143,27.0,35.0,184.0,49.0
3134,optimal_unidirectional,1,8.2,2.91429,15.0,0.0,362.0,261.0
3134,safe_unidirectional,1,10.5,3.2,154.0,0.0,498.0,400.0
3134,hybrid_unidirectional,1,9.9,3.25714,131.0,0.0,472.0,334.0
3134,optimal_bidirectional,1,0.7,0.114286,0.0,434.0,0.0,0.0
3134,hybrid_bidirectional,1,6.7,3.2,665.0,285.0,283.0,201.0
3134,safe_bidirectional,1,9.8,3.42857,245.0,112.0,477.0,395.0
3134,optimal_unidirectional,2,8.6,2.8,24.0,0.0,377.0,266.0
3134,safe_unidirectional,2,8.5,3.08571,42.0,0.0,398.0,302.0
3134,hybrid_unidirectional,2,8.3,2.97143,23.0,0.0,384.0,263.0
3134,optimal_bidirectional,2,0.6,1.2,1.0,420.0,0.0,0.0
3134,hybrid_bidirectional,2,1.8,2.97143,765.0,456.0,30.0,24.0
