Data from: Texas Grid Analytics (grid-analytics.ece.utexas.edu)
Chart: Market Prices from 01/28/2024 to 01/29/2024
Date,Time (US Central Time),LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST
2024-01-28,14:45,0.01,0.01,0.01,0.01,0.01,0.01,-3.44,0.01
2024-01-28,15:00,0.01,0.01,0.01,0.01,0.01,0.01,-2.06,0.01
2024-01-28,15:15,0.01,0.01,0.01,0.01,0.01,0.01,-1.67,0.01
2024-01-28,15:30,0.01,0.01,0.01,0.01,0.01,0.01,-3.49,0.01
2024-01-28,15:45,0.01,0.01,0.01,0.01,0.01,0.01,-4.89,0.01
2024-01-28,16:00,0.01,0.01,0.01,0.01,0.01,0.01,-0.28,0.01
2024-01-28,16:15,0.01,0.01,0.01,0.01,0.01,0.01,-3.53,0.01
2024-01-28,16:30,2.73,2.73,2.73,2.73,2.73,2.73,-0.33,2.73
2024-01-28,16:45,8.41,8.41,8.41,8.41,8.41,8.41,6.36,8.41
2024-01-28,17:00,12.15,12.15,12.15,12.15,12.15,12.15,11.42,12.15
2024-01-28,17:15,15.76,15.76,15.76,15.76,15.76,15.76,15.2,15.76
2024-01-28,17:30,21.95,21.95,21.95,21.95,21.95,21.95,19.54,21.95
2024-01-28,17:45,44.43,44.43,44.43,44.43,44.43,44.43,38.69,44.43
2024-01-28,18:00,30.4,30.4,30.4,30.4,30.4,30.4,29.03,30.4
2024-01-28,18:15,26.49,26.68,26.31,26.56,25.99,25.97,24.29,28.33
2024-01-28,18:30,25.22,25.85,24.7,25.42,23.77,23.69,23.48,32.67
2024-01-28,18:45,24.38,25.19,23.63,24.66,22.35,22.23,22.71,32.74
2024-01-28,19:00,24.33,25.16,23.52,24.63,22.15,22.03,22.63,32.35
2024-01-28,19:15,23.13,23.47,22.79,23.25,22.22,22.17,21.46,26.47
2024-01-28,19:30,23.25,23.8,22.72,23.45,21.81,21.73,21.7,28.56
2024-01-28,19:45,23.2,23.52,22.9,23.32,22.38,22.34,21.59,26.21
2024-01-28,20:00,22.39,22.39,22.39,22.39,22.39,22.39,20.74,22.39
2024-01-28,20:15,22.25,22.25,22.25,22.25,22.25,22.25,20.72,22.25
2024-01-28,20:30,21.72,21.72,21.72,21.72,21.72,21.72,20.51,21.72
2024-01-28,20:45,21.08,21.08,21.08,21.08,21.08,21.08,20.07,21.08
2024-01-28,21:00,20.87,20.87,20.87,20.87,20.87,20.87,20.27,20.87
2024-01-28,21:15,21.07,21.07,21.07,21.07,21.07,21.07,21.07,21.07
2024-01-28,21:30,20.8,20.8,20.8,20.8,20.8,20.8,20.8,20.8
2024-01-28,21:45,20.33,20.33,20.33,20.33,20.33,20.33,20.33,20.33
2024-01-28,22:00,19.66,19.66,19.66,19.66,19.66,19.66,19.66,19.66
2024-01-28,22:15,19.26,19.26,19.26,19.26,19.26,19.26,19.26,19.26
2024-01-28,22:30,18.74,18.74,18.74,18.74,18.74,18.74,18.74,18.74
2024-01-28,22:45,18.42,18.42,18.42,18.42,18.42,18.42,18.42,18.42
2024-01-28,23:00,17.04,17.04,17.04,17.04,17.04,17.04,17.04,17.04
2024-01-28,23:15,16.29,16.29,16.29,16.29,16.29,16.29,16.29,16.29
2024-01-28,23:30,15.46,15.46,15.46,15.46,15.46,15.46,15.46,15.46
2024-01-28,23:45,14.55,14.55,14.55,14.55,14.55,14.55,14.55,14.55
2024-01-29,00:00,13.37,13.37,13.37,13.37,13.37,13.37,13.37,13.37
2024-01-29,00:15,13.27,13.27,13.27,13.27,13.27,13.27,13.27,13.27
2024-01-29,00:30,12.46,12.46,12.46,12.46,12.46,12.46,12.46,12.46
2024-01-29,00:45,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88
2024-01-29,01:00,11.47,11.47,11.47,11.47,11.47,11.47,11.47,11.47
2024-01-29,01:15,11.74,11.74,11.74,11.74,11.74,11.74,11.74,11.74
2024-01-29,01:30,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7
2024-01-29,01:45,11.84,11.84,11.84,11.84,11.84,11.84,11.84,11.84
2024-01-29,02:00,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86
2024-01-29,02:15,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75
2024-01-29,02:30,11.72,11.72,11.72,11.72,11.72,11.72,11.72,11.72
2024-01-29,02:45,11.79,11.79,11.79,11.79,11.79,11.79,11.79,11.79
2024-01-29,03:00,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75
2024-01-29,03:15,12.16,12.16,12.16,12.16,12.16,12.16,12.16,12.16
2024-01-29,03:30,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9
2024-01-29,03:45,13.27,13.27,13.27,13.27,13.27,13.27,13.27,13.27
2024-01-29,04:00,13.02,13.02,13.02,13.02,13.02,13.02,13.02,13.02
2024-01-29,04:15,13.09,13.09,13.09,13.09,13.09,13.09,13.09,13.09
2024-01-29,04:30,13.95,13.79,13.56,14.28,13.3,13.29,13.76,12.86
2024-01-29,04:45,14.58,14.31,13.94,15.12,13.51,13.49,14.26,12.79
2024-01-29,05:00,16.61,16.25,15.73,17.35,15.14,15.11,16.17,14.15
2024-01-29,05:15,18.45,18.15,17.71,19.07,17.22,17.19,18.08,16.38
2024-01-29,05:30,18.92,18.6,18.14,19.59,17.61,17.58,18.53,16.72
2024-01-29,05:45,21.36,20.95,20.36,22.2,19.69,19.65,20.86,18.56
2024-01-29,06:00,21.91,21.51,20.91,22.78,20.23,20.2,21.44,19.1
2024-01-29,06:15,22.37,22.1,21.64,23.04,21.12,21.1,22.05,20.27
2024-01-29,06:30,23.36,23.21,22.61,24.16,22.02,22,23.13,21.08
2024-01-29,06:45,24.19,24.13,23.56,24.86,23.03,23.01,24.04,22.21
2024-01-29,07:00,26.84,26.77,26.11,27.63,25.5,25.47,26.67,24.54
2024-01-29,07:15,29.28,29.21,28.56,30.07,27.95,27.92,29.11,27
2024-01-29,07:30,27.74,27.68,27.05,28.51,26.47,26.44,27.58,25.56
2024-01-29,07:45,26.16,26.1,25.47,26.94,24.89,24.86,26.01,23.98
2024-01-29,08:00,22.96,22.92,22.47,23.51,22.06,22.04,22.85,21.42
2024-01-29,08:15,19.93,19.93,19.93,19.93,19.93,19.93,19.93,19.93
2024-01-29,08:30,14.53,14.53,14.53,14.53,14.53,14.53,14.53,14.53
2024-01-29,08:45,12.57,12.54,12.3,12.87,12.07,12.07,12.5,11.73
2024-01-29,09:00,10.16,10.15,10.04,10.3,9.93,9.93,10.13,9.78
2024-01-29,09:15,10.26,10.38,10.24,10.27,10.14,10.13,10.42,9.92
2024-01-29,09:30,10.6,10.67,10.59,10.6,10.52,10.52,10.69,10.39
2024-01-29,09:45,11.6,11.62,11.6,11.6,11.57,11.57,11.63,11.52
2024-01-29,10:00,11.84,11.84,11.84,11.84,11.83,11.83,11.84,11.83
2024-01-29,10:15,11.86,11.86,11.86,11.86,11.86,11.86,11.86,11.86
2024-01-29,10:30,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55
2024-01-29,10:45,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35
2024-01-29,11:00,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88
2024-01-29,11:15,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9
2024-01-29,11:30,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3
2024-01-29,11:45,13.03,13.03,13.03,13.03,13.03,13.03,13.03,13.03
2024-01-29,12:00,13.34,13.34,13.34,13.34,13.34,13.34,13.34,13.34
2024-01-29,12:15,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45
2024-01-29,12:30,13.43,13.43,13.43,13.43,13.43,13.43,13.43,13.43
2024-01-29,12:45,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32
2024-01-29,13:00,13.26,13.26,13.26,13.26,13.26,13.26,13.26,13.26
2024-01-29,13:15,13.53,13.53,13.53,13.53,13.53,13.53,13.53,13.53
2024-01-29,13:30,13.62,13.62,13.62,13.62,13.62,13.62,13.62,13.62
2024-01-29,13:45,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23
2024-01-29,14:00,13.12,13.12,13.12,13.12,13.12,13.12,13.12,13.12
2024-01-29,14:15,12.96,12.96,12.96,12.96,12.96,12.96,12.96,12.96
2024-01-29,14:30,12.46,12.46,12.46,12.46,12.46,12.46,12.46,12.46
2024-01-29,14:45,11.65,11.65,11.65,11.65,11.65,11.65,11.65,11.65
2024-01-29,15:00,11.39,11.39,11.39,11.39,11.39,11.39,11.39,11.39
2024-01-29,15:15,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34
2024-01-29,15:30,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
