Day,Weekday,Departure Time,SOC on Departure,Arrival Time,SOC on Arrival,Distance (km),Travel Time (min)
32,Thursday,07:50,32.00,18:09,24.19,47.60,600
33,Friday,08:07,32.00,18:05,23.09,54.35,600
33,Friday,13:02,23.09,13:54,22.38,4.28,10
34,Saturday,No trips,32.0,,32.0
35,Sunday,No trips,32.0,,32.0
36,Monday,07:59,32.00,18:14,23.31,52.97,600
37,Tuesday,08:08,32.00,17:54,23.04,54.63,600
37,Tuesday,12:13,23.04,13:51,21.69,8.22,20
38,Wednesday,07:51,32.00,18:03,24.40,46.32,600
39,Thursday,08:06,32.00,17:46,24.06,48.41,600
40,Friday,07:46,32.00,17:49,24.31,46.90,600
41,Saturday,No trips,32.0,,32.0
42,Sunday,14:27,32.00,16:04,30.68,8.04,19
43,Monday,07:46,32.00,18:00,22.99,54.96,600
44,Tuesday,08:08,32.00,17:56,23.51,51.80,600
45,Wednesday,07:52,32.00,17:48,23.42,52.31,600
46,Thursday,08:03,32.00,18:10,23.89,49.45,600
47,Friday,08:10,32.00,18:05,23.30,53.06,600
48,Saturday,No trips,32.0,,32.0
49,Sunday,No trips,32.0,,32.0
50,Monday,08:14,32.00,18:10,23.11,54.23,600
50,Monday,13:40,23.11,14:52,22.13,5.97,14
50,Monday,17:48,22.13,19:21,20.86,7.72,19
51,Tuesday,08:03,32.00,17:59,24.61,45.08,600
52,Wednesday,07:49,32.00,17:54,23.97,48.98,600
53,Thursday,08:11,32.00,18:13,23.69,50.69,600
54,Friday,08:02,32.00,18:11,23.13,54.08,600
54,Friday,14:37,23.13,15:40,22.28,5.18,12
55,Saturday,No trips,32.0,,32.0
56,Sunday,12:16,32.00,13:16,31.18,4.99,12
57,Monday,08:09,32.00,17:51,23.68,50.73,600
58,Tuesday,08:05,32.00,18:02,24.48,45.86,600
59,Wednesday,07:56,32.00,17:52,23.72,50.46,600
59,Wednesday,10:59,23.72,12:32,22.45,7.76,19
60,Thursday,07:47,32.00,17:46,23.37,52.62,600
60,Thursday,12:17,23.37,13:10,22.65,4.39,11
61,Friday,08:04,32.00,18:11,24.10,48.16,600
62,Saturday,19:51,32.00,21:51,30.37,9.94,24
63,Sunday,No trips,32.0,,32.0
64,Monday,07:49,32.00,17:53,23.04,54.64,600
65,Tuesday,07:51,32.00,18:06,23.25,53.34,600
66,Wednesday,08:12,32.00,18:13,24.13,47.99,600
67,Thursday,07:59,32.00,18:06,24.41,46.28,600
68,Friday,08:08,32.00,17:56,24.42,46.21,600
69,Saturday,No trips,32.0,,32.0
70,Sunday,No trips,32.0,,32.0
71,Monday,07:49,32.00,17:53,24.51,45.68,600
72,Tuesday,07:50,32.00,17:54,23.71,50.52,600
73,Wednesday,07:50,32.00,17:57,23.12,54.15,600
74,Thursday,08:12,32.00,17:47,24.30,46.93,600
75,Friday,07:49,32.00,18:13,23.39,52.52,600
76,Saturday,No trips,32.0,,32.0
77,Sunday,No trips,32.0,,32.0
78,Monday,07:47,32.00,18:03,24.04,48.54,600
78,Monday,14:28,24.04,15:41,23.04,6.11,15
79,Tuesday,08:07,32.00,17:51,23.55,51.51,600
79,Tuesday,16:04,23.55,17:28,22.40,7.01,17
80,Wednesday,07:57,32.00,18:03,23.70,50.61,600
81,Thursday,07:52,32.00,18:09,24.52,45.61,600
81,Thursday,15:35,24.52,17:13,23.18,8.16,20
82,Friday,08:00,32.00,18:04,23.48,51.95,600
82,Friday,14:07,23.48,15:07,22.66,5.02,12
83,Saturday,No trips,32.0,,32.0
84,Sunday,No trips,32.0,,32.0
85,Monday,08:10,32.00,18:06,23.45,52.13,600
86,Tuesday,08:13,32.00,17:50,23.01,54.84,600
87,Wednesday,07:54,32.00,17:48,24.40,46.31,600
88,Thursday,08:02,32.00,17:49,23.88,49.52,600
89,Friday,08:00,32.00,17:49,23.83,49.83,600
90,Saturday,No trips,32.0,,32.0
91,Sunday,16:14,32.00,16:50,31.51,2.98,7
92,Monday,07:52,32.00,18:10,23.09,54.35,600
93,Tuesday,07:53,32.00,18:13,24.56,45.34,600
94,Wednesday,07:58,32.00,17:55,24.13,48.01,600
95,Thursday,08:05,32.00,17:54,23.00,54.91,600
96,Friday,07:54,32.00,18:10,23.19,53.72,600
97,Saturday,No trips,32.0,,32.0
98,Sunday,No trips,32.0,,32.0
99,Monday,08:13,32.00,17:59,24.19,47.65,600
100,Tuesday,07:50,32.00,17:55,23.80,49.97,600
101,Wednesday,08:00,32.00,17:58,23.45,52.12,600
102,Thursday,08:05,32.00,18:13,23.56,51.44,600
103,Friday,08:07,32.00,18:09,23.95,49.07,600
104,Saturday,No trips,32.0,,32.0
105,Sunday,No trips,32.0,,32.0
106,Monday,08:14,32.00,18:13,23.75,50.28,600
106,Monday,12:45,23.75,13:37,23.05,4.31,10
107,Tuesday,07:47,32.00,18:06,23.41,52.39,600
108,Wednesday,07:57,32.00,17:46,23.59,51.26,600
109,Thursday,08:12,32.00,18:02,23.13,54.10,600
110,Friday,08:13,32.00,18:09,23.40,52.42,600
111,Saturday,No trips,32.0,,32.0
112,Sunday,No trips,32.0,,32.0
113,Monday,07:59,32.00,17:59,24.54,45.50,600
114,Tuesday,07:56,32.00,18:11,23.26,53.30,600
115,Wednesday,07:54,32.00,17:45,24.47,45.91,600
116,Thursday,07:49,32.00,17:51,23.70,50.62,600
117,Friday,07:49,32.00,17:53,23.22,53.55,600
118,Saturday,No trips,32.0,,32.0
119,Sunday,No trips,32.0,,32.0
120,Monday,08:07,32.00,17:58,23.74,50.35,600
121,Tuesday,07:48,32.00,17:46,24.34,46.73,600
122,Wednesday,07:47,32.00,17:51,24.49,45.77,600
123,Thursday,08:07,32.00,18:00,23.84,49.75,600
124,Friday,07:55,32.00,18:02,24.26,47.19,600
125,Saturday,15:54,32.00,17:12,30.92,6.56,16
125,Saturday,19:39,30.92,20:29,30.24,4.18,10
126,Sunday,No trips,32.0,,32.0
127,Monday,08:07,32.00,17:50,23.70,50.60,600
128,Tuesday,07:53,32.00,17:50,23.48,51.95,600
129,Wednesday,07:49,32.00,18:03,23.40,52.46,600
129,Wednesday,14:39,23.40,16:36,21.80,9.77,23
130,Thursday,07:45,32.00,18:09,23.34,52.82,600
131,Friday,07:55,32.00,18:04,23.53,51.65,600
132,Saturday,No trips,32.0,,32.0
133,Sunday,09:32,32.00,11:25,30.44,9.49,23
134,Monday,07:59,32.00,18:04,24.32,46.81,600
135,Tuesday,07:52,32.00,17:56,23.35,52.75,600
136,Wednesday,07:50,32.00,18:07,23.65,50.94,600
137,Thursday,07:52,32.00,18:05,23.28,53.15,600
138,Friday,08:04,32.00,18:06,24.44,46.11,600
139,Saturday,No trips,32.0,,32.0
140,Sunday,18:50,32.00,19:29,31.47,3.25,8
141,Monday,08:10,32.00,18:07,24.44,46.10,600
141,Monday,13:33,24.44,14:52,23.36,6.57,16
142,Tuesday,08:06,32.00,18:12,23.28,53.17,600
143,Wednesday,07:57,32.00,17:57,23.24,53.41,600
143,Wednesday,12:47,23.24,14:23,21.94,7.92,19
144,Thursday,07:50,32.00,18:01,23.69,50.64,600
145,Friday,08:05,32.00,17:50,24.56,45.37,600
145,Friday,08:16,24.56,09:12,23.79,4.68,11
146,Saturday,No trips,32.0,,32.0
147,Sunday,No trips,32.0,,32.0
148,Monday,07:55,32.00,17:59,24.13,47.98,600
149,Tuesday,08:08,32.00,18:14,23.38,52.55,600
150,Wednesday,08:06,32.00,17:49,23.30,53.04,600
151,Thursday,08:01,32.00,18:01,24.34,46.69,600
152,Friday,07:58,32.00,17:45,24.62,45.02,600
153,Saturday,15:02,32.00,16:23,30.89,6.76,16
153,Saturday,15:45,30.89,17:11,29.72,7.15,17
154,Sunday,No trips,32.0,,32.0
155,Monday,07:54,32.00,17:50,24.00,48.79,600
156,Tuesday,08:02,32.00,17:50,23.30,53.06,600
157,Wednesday,08:13,32.00,17:51,24.56,45.37,600
158,Thursday,07:54,32.00,18:05,23.81,49.95,600
159,Friday,07:53,32.00,17:46,23.25,53.37,600
160,Saturday,No trips,32.0,,32.0
161,Sunday,No trips,32.0,,32.0
162,Monday,07:56,32.00,18:12,23.54,51.57,600
162,Monday,14:36,23.54,15:22,22.92,3.82,9
163,Tuesday,08:01,32.00,18:14,23.72,50.50,600
164,Wednesday,08:05,32.00,18:13,24.23,47.36,600
165,Thursday,07:45,32.00,18:14,24.61,45.03,600
166,Friday,07:52,32.00,17:47,24.41,46.29,600
167,Saturday,No trips,32.0,,32.0
168,Sunday,No trips,32.0,,32.0
169,Monday,08:14,32.00,18:14,23.01,54.84,600
170,Tuesday,08:06,32.00,17:56,23.77,50.16,600
171,Wednesday,08:06,32.00,17:56,23.93,49.18,600
172,Thursday,08:10,32.00,18:02,24.58,45.24,600
173,Friday,08:11,32.00,17:57,23.43,52.24,600
174,Saturday,No trips,32.0,,32.0
175,Sunday,No trips,32.0,,32.0
176,Monday,08:08,32.00,17:46,24.26,47.18,600
177,Tuesday,07:56,32.00,18:01,23.75,50.32,600
177,Tuesday,11:26,23.75,12:59,22.47,7.82,19
178,Wednesday,07:54,32.00,17:52,24.50,45.75,600
178,Wednesday,12:52,24.50,14:23,23.25,7.59,18
179,Thursday,07:55,32.00,18:00,24.41,46.29,600
180,Friday,07:47,32.00,18:00,24.45,46.04,600
181,Saturday,08:52,32.00,09:47,31.25,4.57,11
182,Sunday,No trips,32.0,,32.0
183,Monday,08:10,32.00,18:12,24.22,47.45,600
184,Tuesday,08:11,32.00,17:56,23.59,51.26,600
184,Tuesday,14:00,23.59,14:38,23.08,3.14,8
185,Wednesday,08:00,32.00,18:09,24.61,45.06,600
186,Thursday,07:50,32.00,18:12,23.38,52.54,600
187,Friday,07:48,32.00,18:14,23.86,49.63,600
188,Saturday,No trips,32.0,,32.0
189,Sunday,18:16,32.00,18:46,31.59,2.51,6
190,Monday,08:09,32.00,18:13,23.88,49.50,600
191,Tuesday,08:06,32.00,17:50,23.78,50.13,600
192,Wednesday,08:00,32.00,17:53,23.44,52.20,600
193,Thursday,08:06,32.00,18:03,23.93,49.23,600
194,Friday,08:07,32.00,17:55,23.98,48.88,600
195,Saturday,No trips,32.0,,32.0
196,Sunday,No trips,32.0,,32.0
197,Monday,07:52,32.00,17:50,23.67,50.78,600
198,Tuesday,08:05,32.00,18:08,24.13,48.01,600
198,Tuesday,16:59,24.13,17:48,23.45,4.11,10
199,Wednesday,07:54,32.00,17:46,23.81,49.96,600
200,Thursday,08:08,32.00,17:56,23.66,50.87,600
201,Friday,07:57,32.00,17:48,23.68,50.74,600
201,Friday,09:19,23.68,11:12,22.13,9.41,23
202,Saturday,11:07,32.00,12:32,30.83,7.14,17
203,Sunday,No trips,32.0,,32.0
204,Monday,07:55,32.00,18:07,24.06,48.44,600
205,Tuesday,08:02,32.00,18:13,23.79,50.09,600
206,Wednesday,08:06,32.00,18:12,23.56,51.49,600
207,Thursday,07:53,32.00,18:00,23.96,49.01,600
208,Friday,07:50,32.00,17:55,24.23,47.38,600
209,Saturday,No trips,32.0,,32.0
210,Sunday,No trips,32.0,,32.0
211,Monday,07:47,32.00,17:51,23.93,49.20,600
212,Tuesday,08:14,32.00,17:48,23.08,54.38,600
213,Wednesday,07:49,32.00,17:51,22.99,54.96,600
214,Thursday,08:07,32.00,18:01,23.29,53.14,600
215,Friday,07:46,32.00,18:04,24.24,47.32,600
215,Friday,09:09,24.24,09:50,23.68,3.40,8
216,Saturday,No trips,32.0,,32.0
217,Sunday,No trips,32.0,,32.0
218,Monday,08:04,32.00,18:00,23.69,50.66,600
219,Tuesday,08:11,32.00,18:10,23.31,53.00,600
220,Wednesday,08:12,32.00,17:49,23.46,52.05,600
221,Thursday,08:05,32.00,18:09,23.76,50.23,600
222,Friday,07:52,32.00,18:12,24.61,45.04,600
223,Saturday,No trips,32.0,,32.0
224,Sunday,No trips,32.0,,32.0
225,Monday,07:53,32.00,18:08,24.36,46.61,600
226,Tuesday,07:56,32.00,18:14,23.89,49.43,600
227,Wednesday,07:50,32.00,18:11,23.74,50.34,600
228,Thursday,07:50,32.00,18:00,24.24,47.32,600
228,Thursday,15:26,24.24,16:37,23.26,5.98,14
229,Friday,08:00,32.00,18:09,22.98,54.98,600
229,Friday,15:10,22.98,15:55,22.36,3.79,9
230,Saturday,No trips,32.0,,32.0
231,Sunday,No trips,32.0,,32.0
232,Monday,07:55,32.00,18:08,24.24,47.30,600
233,Tuesday,08:06,32.00,17:54,23.45,52.12,600
234,Wednesday,08:10,32.00,17:48,24.57,45.28,600
235,Thursday,07:52,32.00,18:03,23.06,54.53,600
236,Friday,08:04,32.00,18:01,23.11,54.20,600
237,Saturday,11:50,32.00,12:45,31.24,4.61,11
238,Sunday,No trips,32.0,,32.0
239,Monday,07:49,32.00,18:04,23.17,53.82,600
240,Tuesday,08:12,32.00,17:57,22.99,54.95,600
241,Wednesday,08:12,32.00,17:49,24.12,48.03,600
242,Thursday,08:14,32.00,17:57,23.07,54.48,600
243,Friday,07:58,32.00,18:01,23.87,49.57,600
244,Saturday,No trips,32.0,,32.0
245,Sunday,No trips,32.0,,32.0
246,Monday,08:02,32.00,18:11,23.73,50.43,600
247,Tuesday,07:54,32.00,18:14,23.63,51.02,600
248,Wednesday,07:57,32.00,17:57,23.66,50.84,600
249,Thursday,07:49,32.00,17:46,24.52,45.61,600
250,Friday,08:05,32.00,18:07,24.09,48.26,600
251,Saturday,No trips,32.0,,32.0
252,Sunday,No trips,32.0,,32.0
253,Monday,08:05,32.00,18:03,23.03,54.71,600
254,Tuesday,07:53,32.00,18:13,23.10,54.29,600
255,Wednesday,07:49,32.00,17:55,23.39,52.51,600
256,Thursday,08:11,32.00,18:03,24.07,48.38,600
257,Friday,07:45,32.00,18:01,23.34,52.82,600
258,Saturday,No trips,32.0,,32.0
259,Sunday,No trips,32.0,,32.0
260,Monday,07:46,32.00,17:50,23.92,49.29,600
260,Monday,14:28,23.92,15:34,23.02,5.48,13
261,Tuesday,07:58,32.00,17:55,23.31,52.99,600
261,Tuesday,16:34,23.31,18:34,21.68,9.94,24
262,Wednesday,08:05,32.00,17:56,23.16,53.93,600
262,Wednesday,09:29,23.16,11:25,21.57,9.67,23
263,Thursday,08:10,32.00,17:50,24.30,46.95,600
264,Friday,08:07,32.00,17:47,23.68,50.74,600
265,Saturday,No trips,32.0,,32.0
266,Sunday,No trips,32.0,,32.0
267,Monday,07:54,32.00,17:57,23.51,51.76,600
268,Tuesday,08:00,32.00,17:51,23.21,53.60,600
269,Wednesday,07:58,32.00,17:48,23.76,50.23,600
269,Wednesday,15:33,23.76,17:18,22.32,8.79,21
270,Thursday,08:03,32.00,17:48,24.25,47.28,600
271,Friday,07:55,32.00,17:51,24.26,47.20,600
272,Saturday,No trips,32.0,,32.0
273,Sunday,No trips,32.0,,32.0
274,Monday,07:49,32.00,17:45,24.27,47.13,600
274,Monday,11:02,24.27,12:54,22.73,9.38,23
274,Monday,13:54,22.73,14:46,22.02,4.34,10
275,Tuesday,07:53,32.00,17:45,24.07,48.38,600
276,Wednesday,08:09,32.00,18:13,23.16,53.89,600
277,Thursday,07:56,32.00,17:56,23.38,52.59,600
278,Friday,07:55,32.00,17:53,24.52,45.60,600
279,Saturday,12:42,32.00,14:38,30.41,9.67,23
280,Sunday,18:06,32.00,19:00,31.27,4.47,11
281,Monday,07:56,32.00,17:51,23.85,49.71,600
281,Monday,18:05,23.85,19:46,22.46,8.45,20
282,Tuesday,07:46,32.00,17:57,23.51,51.79,600
283,Wednesday,08:04,32.00,17:48,23.01,54.83,600
284,Thursday,07:49,32.00,18:06,24.21,47.47,600
285,Friday,08:03,32.00,18:03,24.44,46.11,600
286,Saturday,No trips,32.0,,32.0
287,Sunday,No trips,32.0,,32.0
288,Monday,07:55,32.00,18:00,24.30,46.93,600
289,Tuesday,07:52,32.00,18:00,24.29,47.02,600
290,Wednesday,08:13,32.00,18:13,23.02,54.77,600
290,Wednesday,18:53,23.02,19:57,22.14,5.33,13
291,Thursday,07:56,32.00,17:52,23.75,50.29,600
292,Friday,08:01,32.00,17:47,24.08,48.27,600
292,Friday,16:15,24.08,16:47,23.66,2.60,6
293,Saturday,No trips,32.0,,32.0
294,Sunday,No trips,32.0,,32.0
295,Monday,08:02,32.00,18:06,24.02,48.65,600
296,Tuesday,07:46,32.00,18:06,23.85,49.72,600
297,Wednesday,07:45,32.00,18:04,23.30,53.04,600
298,Thursday,08:04,32.00,18:00,23.43,52.25,600
299,Friday,08:09,32.00,17:54,23.86,49.60,600
300,Saturday,No trips,32.0,,32.0
301,Sunday,No trips,32.0,,32.0
302,Monday,08:04,32.00,17:58,23.30,53.02,600
303,Tuesday,07:46,32.00,18:06,23.49,51.91,600
304,Wednesday,08:13,32.00,17:50,24.03,48.58,600
305,Thursday,07:48,32.00,18:12,23.19,53.73,600
306,Friday,08:05,32.00,18:08,24.13,47.97,600
307,Saturday,No trips,32.0,,32.0
308,Sunday,18:44,32.00,19:32,31.35,3.96,9
309,Monday,08:08,32.00,18:10,24.45,46.01,600
309,Monday,08:22,24.45,09:28,23.54,5.56,13
310,Tuesday,07:52,32.00,18:00,24.06,48.39,600
311,Wednesday,08:06,32.00,18:10,23.84,49.75,600
312,Thursday,08:05,32.00,18:05,23.58,51.34,600
312,Thursday,10:58,23.58,12:04,22.67,5.52,13
313,Friday,07:49,32.00,17:55,23.86,49.66,600
314,Saturday,11:08,32.00,12:02,31.26,4.51,11
315,Sunday,No trips,32.0,,32.0
316,Monday,08:13,32.00,18:13,23.62,51.09,600
317,Tuesday,07:46,32.00,17:51,24.52,45.62,600
318,Wednesday,08:11,32.00,17:53,23.52,51.71,600
319,Thursday,07:50,32.00,17:59,24.19,47.60,600
320,Friday,07:57,32.00,18:10,23.41,52.39,600
320,Friday,13:42,23.41,15:10,22.20,7.34,18
321,Saturday,No trips,32.0,,32.0
322,Sunday,No trips,32.0,,32.0
323,Monday,08:14,32.00,17:55,24.43,46.14,600
324,Tuesday,08:03,32.00,17:57,24.15,47.85,600
325,Wednesday,07:45,32.00,17:54,23.41,52.38,600
326,Thursday,07:59,32.00,17:58,24.54,45.47,600
327,Friday,08:00,32.00,17:53,23.03,54.72,600
328,Saturday,No trips,32.0,,32.0
329,Sunday,No trips,32.0,,32.0
330,Monday,08:00,32.00,17:52,23.79,50.03,600
331,Tuesday,07:56,32.00,17:50,23.37,52.64,600
332,Wednesday,08:04,32.00,17:55,24.37,46.51,600
333,Thursday,08:11,32.00,18:12,23.26,53.29,600
334,Friday,08:14,32.00,17:47,24.17,47.71,600
335,Saturday,No trips,32.0,,32.0
336,Sunday,No trips,32.0,,32.0
337,Monday,08:05,32.00,17:48,23.38,52.57,600
338,Tuesday,07:47,32.00,17:58,23.06,54.49,600
339,Wednesday,07:55,32.00,17:47,23.23,53.48,600
340,Thursday,08:09,32.00,17:54,23.83,49.82,600
341,Friday,07:53,32.00,17:45,23.80,50.00,600
341,Friday,16:19,23.80,16:59,23.25,3.33,8
342,Saturday,No trips,32.0,,32.0
343,Sunday,No trips,32.0,,32.0
344,Monday,07:56,32.00,17:49,23.08,54.39,600
345,Tuesday,07:59,32.00,18:10,23.44,52.20,600
346,Wednesday,07:55,32.00,17:59,23.23,53.45,600
347,Thursday,07:56,32.00,18:12,23.55,51.51,600
348,Friday,07:59,32.00,18:00,23.10,54.26,600
348,Friday,09:10,23.10,10:14,22.22,5.35,13
349,Saturday,No trips,32.0,,32.0
350,Sunday,No trips,32.0,,32.0
351,Monday,07:58,32.00,18:01,24.54,45.47,600
352,Tuesday,07:58,32.00,17:54,23.09,54.33,600
353,Wednesday,08:13,32.00,17:58,23.03,54.68,600
354,Thursday,08:04,32.00,18:03,23.20,53.69,600
355,Friday,08:02,32.00,18:13,24.08,48.27,600
356,Saturday,No trips,32.0,,32.0
357,Sunday,08:19,32.00,09:16,31.22,4.78,11
358,Monday,07:46,32.00,17:51,23.51,51.78,600
359,Tuesday,08:04,32.00,17:57,24.13,47.96,600
360,Wednesday,08:05,32.00,18:09,23.20,53.66,600
361,Thursday,08:05,32.00,17:54,24.29,47.00,600
362,Friday,07:54,32.00,17:52,24.35,46.67,600
363,Saturday,No trips,32.0,,32.0
364,Sunday,No trips,32.0,,32.0
365,Monday,08:08,32.00,18:13,23.79,50.04,600
